Comment,Designator,Footprint,LCSC
2N7002K,"Q1,Q2,Q3,Q4",SOT-23_2N7002K,C114458
PCA9536D,U1,SOIC-8_3.9x4.9mm_P1.27mm,C129522
100n,C2,C_0402_1005Metric,C1525
1uF,C1,C_0603_1608Metric,C15849
100k,"R3,R5,R7,R9",R_0402_1005Metric,C25741
10K,"R1,R2",R_0402_1005Metric,C25744
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J3,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J4,PinHeader_1x04_P2.54mm_Vertical,
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,
Conn_01x01,J6,TestPoint_THTPad_D1.0mm_Drill0.5mm,
Conn_01x01,J5,TestPoint_THTPad_D1.0mm_Drill0.5mm,
