"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","1.5pF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C2","1.0pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","100pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","3.3pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","12pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","47pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","12p","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","15p","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C10","4.7u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C11,C12,C13,C14,C15,C16,C17","100n","~","-- verschiedene Werte --","7",""
"FB1","FerriteBead","~","Inductor_SMD:L_0402_1005Metric","1",""
"JA1","Ant.","~","","1",""
"JA2","GND","~","","1",""
"JA3","U.FL connector","~","FUEL4EP:U.FL_Molex_MCRF_73412-0110_Vertical","1",""
"JC1,JC2,JC3,JC4,JC5,JC6,JC7,JC8","Conn_01x01_Pin","~","","8",""
"L1,L2,L5,L6","12nH","~","Inductor_SMD:L_0402_1005Metric","4",""
"L3,L4","18nH","~","Inductor_SMD:L_0402_1005Metric","2",""
"L7","3.3nH","~","Inductor_SMD:L_0402_1005Metric","1",""
"LOGO1","Logo_Open_Hardware_Small","~","FUEL4EP:CC-BY-ND-SA_bottom","1",""
"R1","56k","~","Resistor_SMD:R_0402_1005Metric","1",""
"U1","CC1101RGPR","https://www.ti.com/lit/ds/symlink/cc1101.pdf","QLP20","1",""
"Y1","Crystal  26MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1",""
