Comment,Designator,Footprint,LCSC Part Number
10uF Polarized capacitor,C1,"=""CASE-A_3216""",C7171
100n Unpolarized capacitor,"C2,C3,C4,C8,C9","=""0805""",C28233
10u Polarized capacitor,C5,"=""CASE-A_3216""",C7171
22p Unpolarized capacitor,"C6,C7","=""0805""",C1804
10u Unpolarized capacitor,"C10,C11,C12,C13","=""0805""",C15850
1u Unpolarized capacitor,"C14,C15,C16","=""0805""",C15849
LED red 3mm Light emitting diode,D1,"=""LED_0805""",C84256
"IRLU024N N-MOSFET transistor, gate/drain/source",Q1,"=""TO-251""",C558184
470 Resistor,R1,"=""0805""",C17710
10k Resistor,R2,"=""0805""",C17733
100K Resistor,R3,"=""R0805""",C101406
10K Resistor,"R4,R5","=""R0805""",C101405
22 Resistor,R6,"=""0603""",C23345
100k Resistor,"R7,R9","=""R0805""",C101406
200k Resistor,R8,"=""0805""",C17539
Config button ,SW1,"=""SMD-SW-4_5.1x5.1x1.5""",C318884
Reset button ,SW2,"=""SMD-SW-4_5.1x5.1x1.5""",C318884
"ATmega1284P-AU 20MHz, 128kB Flash, 16kB SRAM, 4kB EEPROM, JTAG, TQFP-44",U1,"=""TQFP-44_10.0x10.0x0.8P""",C33575
"TPS61221DCK 400 mA Step-Up Converter, Fixed 3.3V Output Voltage, 0.7-5.5V Input Voltage, SC-70",U2,"=""SOT-363""",C37055
MB85RS2MTPF Memory FRAM 2 MBit (256 K ×  8) Bit SPI MB85RS2MT,"U3,U4","=""SOP-8_5.2x5.3x1.27P""",C126734
8MHz Two pin crystal,Y1,"=""SMD-5032_2P""",C115962
