"Designator","Mid X","Mid Y","Layer","Rotation"
"C16","148.27mm","-112.014mm","top","180.0"
"J13","146.177mm","-148.971mm","top","180.0"
"J7","135.89mm","-151.003mm","top","180.0"
"J6","125.73mm","-151mm","top","180.0"
"C15","148.6535mm","-123.7615mm","top","90.0"
"U4","152.908mm","-112.268mm","top","180.0"
"U3","152.908mm","-122.428mm","top","180.0"
"C13","154.051mm","-95.20428mm","top","0.0"
"C14","148.971mm","-115.3795mm","top","90.0"
"R9","147.939mm","-119.634mm","top","180.0"
"Q1","107.95mm","-144.78mm","top","0.0"
"J4","145.542mm","-105.2195mm","top","90.0"
"J9","151.13mm","-151mm","top","180.0"
"J2","142.4mm","-94.615mm","top","180.0"
"J1","142.4mm","-88.011mm","top","180.0"
"J10","165.989mm","-81.3435mm","top","90.0"
"JP3","147.6883mm","-90.5383mm","top","90.0"
"L1","148.78812mm","-102.0572mm","top","90.0"
"U2","154.1145mm","-99.6315mm","top","180.0"
"C12","154.051mm","-97.21088mm","top","0.0"
"C11","154.03068mm","-104.05364mm","top","0.0"
"C10","154.03068mm","-102.0572mm","top","0.0"
"R8","146.43608mm","-100.18776mm","top","180.0"
"R7","143.61668mm","-98.38436mm","top","90.0"
"J11","129.667mm","-131.75mm","top","90.0"
"Y1","132.6515mm","-91.44mm","top","0.0"
"BT2","112.42mm","-139.1mm","top","90.0"
"BT1","164.49mm","-86.86mm","top","270.0"
"SW2","152.5mm","-81.5mm","top","0.0"
"SW1","122.8mm","-81.5mm","top","180.0"
"C5","139.065mm","-90.4752mm","top","90.0"
"C1","145.288mm","-116.586mm","top","180.0"
"U1","133.8326mm","-102.0953mm","top","180.0"
"R6","131.1435mm","-112mm","top","180.0"
"R5","125.984mm","-103.235mm","top","270.0"
"R4","123.19mm","-103.251mm","top","270.0"
"R3","117.9416mm","-144.8181mm","top","180.0"
"R2","133.3152mm","-83.8708mm","top","180.0"
"R1","110.1725mm","-82.296mm","top","0.0"
"J12","129.0701mm","-80.8609mm","top","90.0"
"D1","110.1635mm","-80.2005mm","top","0.0"
"C9","129.5248mm","-83.8708mm","top","180.0"
"C8","134.8511mm","-109.8931mm","top","180.0"
"C7","134.747mm","-88.519mm","top","180.0"
"C6","130.4925mm","-88.519mm","top","0.0"
"C4","134.366mm","-94.361mm","top","180.0"
"C3","142.1765mm","-102.2985mm","top","90.0"
"C2","131.2189mm","-110.05mm","top","180.0"
"Module1","141.53mm","-127.2mm","top","180.0"
"LOGO1","116.25mm","-101mm","top","90.0"
"JP1","109.85mm","-149.225mm","top","180.0"
"JP2","147.6375mm","-86.9315mm","top","270.0"
"J8","140.97mm","-151.003mm","top","180.0"
"J5","157.48mm","-144.78mm","top","90.0"
"J3","145.542mm","-108.9025mm","top","90.0"
