Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,44.288,-38.586,180.0,top
C2,100n,C_0805_2012Metric,30.2189,-32.05,180.0,top
C3,100n,C_0805_2012Metric,41.1765,-24.2985,90.0,top
C4,100n,C_0805_2012Metric,33.366,-16.361,180.0,top
C5,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,38.065,-12.4752,90.0,top
C6,22p,C_0805_2012Metric,29.4925,-10.519,0.0,top
C7,22p,C_0805_2012Metric,33.747,-10.519,180.0,top
C8,100n,C_0805_2012Metric,33.8511,-31.8931,180.0,top
C9,100n,C_0805_2012Metric,28.5248,-5.8708,180.0,top
C10,10u,C_0805_2012Metric,53.03068,-24.0572,0.0,top
C11,10u,C_0805_2012Metric,53.03068,-26.05364,0.0,top
C12,10u,C_0805_2012Metric,53.051,-19.21088,0.0,top
C13,10u,C_0805_2012Metric,53.051,-17.20428,0.0,top
C14,1u,C_0805_2012Metric,47.971,-37.3795,90.0,top
C15,1u,C_0805_2012Metric,47.6535,-45.7615,90.0,top
C16,1u,C_0805_2012Metric,47.27,-34.014,180.0,top
D1,LED red 3mm,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.1635,-2.2005,0.0,top
L1,4.7u,FUEL4EP_Inductor_SMD_1,48.8092,-22.584,90.0,top
Q1,IRLU024N,TO-251-3_Vertical,9.24,-66.66,0.0,top
R1,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,9.1725,-4.296,0.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32.3152,-5.8708,180.0,top
R3,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,16.9416,-66.8181,180.0,top
R4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.19,-25.251,-90.0,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.984,-25.235,-90.0,top
R6,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,30.1435,-34.0,180.0,top
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.61668,-20.38436,90.0,top
R8,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.4564,-18.8756,180.0,top
R9,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.939,-41.634,180.0,top
SW1,Config button,SW_TS-1187A-B-A-B,21.8,-3.5,180.0,top
SW2,Reset button,SW_TS-1187A-B-A-B,51.5,-3.5,0.0,top
U1,ATmega1284P-AU,TQFP-44_10x10mm_P0.8mm,32.8326,-24.0953,180.0,top
U2,TPS61221DCK,Texas_R-PDSO-G6,53.1145,-21.6315,0.0,top
U3,MB85RS2MTPF,SOP-8_5.28x5.23mm_P1.27mm,51.908,-44.428,0.0,top
U4,MB85RS2MTPF,SOP-8_5.28x5.23mm_P1.27mm,51.908,-34.268,0.0,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,31.6515,-13.44,0.0,top
