Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",45.288000,-39.586000,180.000000,top
"C2","100n","C_0805_2012Metric",31.218900,-33.050000,180.000000,top
"C3","100n","C_0805_2012Metric",42.176500,-25.298500,90.000000,top
"C4","100n","C_0805_2012Metric",34.366000,-17.361000,180.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",39.065000,-13.475200,90.000000,top
"C6","22p","C_0805_2012Metric",30.492500,-11.519000,0.000000,top
"C7","22p","C_0805_2012Metric",34.747000,-11.519000,180.000000,top
"C8","100n","C_0805_2012Metric",34.851100,-32.893100,180.000000,top
"C9","100n","C_0805_2012Metric",29.524800,-6.870800,180.000000,top
"C10","10u","C_0805_2012Metric",54.030680,-25.057200,0.000000,top
"C11","10u","C_0805_2012Metric",54.030680,-27.053640,0.000000,top
"C12","10u","C_0805_2012Metric",54.051000,-20.210880,0.000000,top
"C13","10u","C_0805_2012Metric",54.051000,-18.204280,0.000000,top
"D1","LED red 3mm","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.163500,-3.200500,0.000000,top
"R1","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.172500,-5.296000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.315200,-6.870800,180.000000,top
"R3","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.941600,-67.818100,180.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",23.190000,-26.251000,270.000000,top
"R5","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.984000,-26.235000,270.000000,top
"R6","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.143500,-35.000000,180.000000,top
"R7","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.616680,-21.384360,90.000000,top
"R8","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.436080,-23.187760,180.000000,top
"SW1","Config button","SW_TS-1187A-B-A-B",22.800000,-4.500000,180.000000,top
"SW2","Reset button","SW_TS-1187A-B-A-B",52.500000,-4.500000,0.000000,top
"U1","ATmega1284P-AU","TQFP-44_10x10mm_P0.8mm",33.832600,-25.095300,270.000000,top
"U2","TPS61221DCK","Texas_R-PDSO-G6",54.114500,-22.631500,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",32.651500,-14.440000,0.000000,top
