"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","Antenna","~","FUEL4EP:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm","1",""
"C1","10uF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C2,C3,C4,C8,C9,C14","100n","~","-- verschiedene Werte --","6",""
"C5,C10,C11,C12,C13","10u","~","-- verschiedene Werte --","5",""
"C6,C7","22p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","LED red 3mm","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J1,J2,J3,J4","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J5","ISP Programmer","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J6,J7,J8,J9","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","4",""
"J10","charge","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J11","ePaper connector","~","FUEL4EP:PinPads_1x08_P2.00mm_Vertical","1",""
"J12","FTDI Debuger","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J13","U.FL connector","~","FUEL4EP:U.FL_Molex_MCRF_73412-0110_Vertical","1",""
"JP1","NO","~","FUEL4EP:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP2","cut for accus","~","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","1",""
"JP3","step-up supply","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"L1","4.7u","~","FUEL4EP:FUEL4EP_Inductor_SMD_1","1",""
"Module1","E07-900MM10S","","FUEL4EP:eByte_E07-900MM10S","1",""
"Q1","IRLU024N","~","Package_TO_SOT_THT:TO-251-3_Vertical","1",""
"R1","470","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3","100K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R6","22","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8","47k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","Config button","https://datasheet.lcsc.com/lcsc/2002271431_XKB-Connectivity-TS-1187A-B-A-B_C318884.pdf","FUEL4EP:SW_TS-1187A-B-A-B","1",""
"SW2","Reset button","https://datasheet.lcsc.com/lcsc/2002271431_XKB-Connectivity-TS-1187A-B-A-B_C318884.pdf","FUEL4EP:SW_TS-1187A-B-A-B","1",""
"U1","ATmega1284P-AU","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf","Package_QFP:TQFP-44_10x10mm_P0.8mm","1",""
"U2","TPS61221DCK","http://www.ti.com/lit/ds/symlink/tps61220.pdf","Package_TO_SOT_SMD:Texas_R-PDSO-G6","1",""
"Y1","8MHz","~","FUEL4EP:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","1",""
