Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BatteryHolder_Keystone_2460_1xAA,2,AA,
C1,CP_Radial_D4.0mm_P1.50mm,1,10uF,
D1,LED_D3.0mm,1,LED red 3mm,
"J1, J2, J3, J4",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
J10,PinHeader_1x03_P2.54mm_Vertical,1,charge,
J11,PinPads_1x08_P2.00mm_Vertical,1,ePaper connector,
J5,PinHeader_1x06_P2.54mm_Vertical,1,ISP Programmer,
"J6, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
LOGO1,CC-BY-ND-SA,1,Logo_Open_Hardware_Small,
Module1,eByte_E07-868MS10,1,E07-868MS10,
Module2,Tindie_ArduinoProMiniXL_1284P_V2,1,Tindie_Pro_Mini_XL_V2,
Q1,TO-251-3_Vertical,1,IRLU024N,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,100K,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,10K,
SW1,SW_PUSH_6mm_H5mm,1,config button,
