Designator,Mid X,Mid Y,Rotation,Layer
BT1,64.49,-9.86,270.0,top
BT2,12.42,-61.9,90.0,top
C1,47.955,-51.905,270.0,top
D1,46.05,-4.28,270.0,top
J1,47.32,-36.665,0.0,top
J10,65.989,-4.3435,90.0,top
J11,27.9017,-53.6703,90.0,top
J2,52.4,-36.665,0.0,top
J3,47.32,-27.14,0.0,top
J4,52.4,-27.14,0.0,top
J5,57.48,-67.78,90.0,top
J6,25.73,-71.59,180.0,top
J7,35.89,-71.59,180.0,top
J8,40.97,-71.59,180.0,top
J9,51.13,-71.59,180.0,top
LOGO1,15.824,-24.0,90.0,top
Module1,41.53,-50.2,180.0,top
Module2,42.24,-34.76,90.0,top
Q1,7.95,-67.78,0.0,top
R1,46.05,-9.995,270.0,top
R3,19.38,-67.78,180.0,top
R4,51.13,-45.555,270.0,top
R5,47.32,-45.555,270.0,top
SW1,46.685,-16.345,0.0,top
