"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","Antenna","~","FUEL4EP:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm","1",""
"BT1,BT2","AA","~","FUEL4EP:BatteryHolder_Keystone_2460_1xAA","2",""
"C1","10uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","1",""
"D1","LED red 3mm","~","LED_THT:LED_D3.0mm","1",""
"H1,H2,H3,H4","MountingHole","~","FUEL4EP:MountingHole_2.2mm_M2_Pad_Via","4",""
"J1,J2,J3,J4","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J5","ISP Programmer","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J6,J7,J8,J9","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","4",""
"J10","charge","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J11","ePaper connector","~","FUEL4EP:PinPads_1x08_P2.00mm_Vertical","1",""
"JP1","NO","~","FUEL4EP:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP2","battery supply","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP3","internal boost","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP4","no BT2 battery","~","FUEL4EP:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP5","battery voltage measurement","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"LOGO1","Logo_Open_Hardware_Small","~","FUEL4EP:CC-BY-ND-SA","1",""
"Module1","E07-900M10S","","FUEL4EP:eByte_E07-900M10S","1",""
"Module2","HB_Pro_Mini_ATMEGA1284P_FUEL4EP","https://www.tindie.com/products/prominimicros/pro-mini-xl-v2-atmega-1284p/","FUEL4EP:HB_Pro_Mini_ATMEGA1284P_FUEL4EP","1",""
"Q1","IRLU024N","~","Package_TO_SOT_THT:TO-251-3_Vertical","1",""
"R1","470","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R4,R5","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"SW1","config button","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
