Comment,Designator,Footprint,LCSC
E07-900MM10S,Module1,eByte_E07-900MM10S,
Antenna,AE1,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,
LED red 3mm,D1,LED_D3.0mm,
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x04,J7,PinHeader_1x04_P2.54mm_Vertical,
AA,BT1,BatteryHolder_Keystone_2460_1xAA,
Conn_01x02,J3,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02,J4,PinHeader_1x02_P2.54mm_Vertical,
ISP Programmer,J5,PinHeader_1x06_P2.54mm_Vertical,
Conn_01x04,J6,PinHeader_1x04_P2.54mm_Vertical,
10uF,C1,CP_Radial_D4.0mm_P1.50mm,
10K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
10K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
470,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
100K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
IRLU024N,Q1,TO-251-3_Vertical,
Conn_01x04,J9,PinHeader_1x04_P2.54mm_Vertical,
charge,J10,PinHeader_1x03_P2.54mm_Vertical,
NO,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Tindie_Pro_Mini_XL_V2,Module2,Tindie_ArduinoProMiniXL_1284P_V2,
cut for accus,JP2,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,
config button,SW1,SW_PUSH_6mm_H5mm,
Conn_01x04,J8,PinHeader_1x04_P2.54mm_Vertical,
MountingHole,H2,MountingHole_2.2mm_M2_Pad_Via,
MountingHole,H4,MountingHole_2.2mm_M2_Pad_Via,
MountingHole,H1,MountingHole_2.2mm_M2_Pad_Via,
MountingHole,H3,MountingHole_2.2mm_M2_Pad_Via,
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,
ePaper connector,J11,PinPads_1x08_P2.00mm_Vertical,
AA,BT2,BatteryHolder_Keystone_2460_1xAA,
U.FL connector,J12,U.FL_Molex_MCRF_73412-0110_Vertical,
