Comment,Designator,Footprint,LCSC,Quantity
LED red 3mm,D1,LED_D3.0mm,,1
10uF,C1,CP_Radial_D4.0mm_P1.50mm,,1
10K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
10K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
470,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
100K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
IRLU024N,Q1,TO-251-3_Vertical,,1
HB_Pro_Mini_ATMEGA1284P_FUEL4EP,Module2,HB_Pro_Mini_ATMEGA1284P_FUEL4EP,,1
CC1101,Module1,CC1101,,1
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,,1
