Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Radial_D4.0mm_P1.50mm,46.955,23.345,-90.0,top
D1,LED red 3mm,LED_D3.0mm,45.05,70.45,-90.0,top
LOGO1,Logo_Open_Hardware_Small,CC-BY-ND-SA,14.824,52.0,90.0,top
Module1,CC1101,CC1101,32.48,30.055,180.0,top
Module2,HB_Pro_Mini_ATMEGA1284P_FUEL4EP,HB_Pro_Mini_ATMEGA1284P_FUEL4EP,32.35,57.75,90.0,top
Q1,IRLU024N,TO-251-3_Vertical,9.24,8.22,0.0,top
R1,470,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,45.05,64.735,-90.0,top
R3,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,17.11,8.22,180.0,top
R4,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,50.13,29.175,-90.0,top
R5,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,46.32,29.175,-90.0,top
