Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
C4,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,100n,
C5,CP_Radial_D5.0mm_P2.00mm,1,10u,
D1,LED_D3.0mm,1,LED,
D11,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4735A 6.2V,
"D2, D3, D6",D_DO-41_SOD81_P7.62mm_Horizontal,3,1N5819,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_M3,8,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,5V  supply,
J10,PinHeader_1x03_P2.54mm_Vertical,1,charge,
J2,PinHeader_1x06_P2.54mm_Vertical,1,4x Push Buttons,
J3,PinHeader_1x06_P2.54mm_Vertical,1,4x Relais,
J4,PinHeader_1x07_P2.54mm_Vertical,1,5x LEDs,
J5,PinHeader_1x06_P2.54mm_Vertical,1,ISP Programmer,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Accumulator,
J7,PinHeader_1x01_P1.27mm_Vertical,1,GND,
J8,PinHeader_1x01_P1.27mm_Vertical,1,VCC,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,Jumper,
LOGO1,CC-BY-ND-SA,1,Logo_Open_Hardware_Small,
Module1,ArduinoProMini,1,Arduino_Pro_Mini_328P_1,
Module2,CC1101,1,CC1101_transceiver_module,
Module3,4_channel_LOGIC_LEVEL_CONVERTER,1,4_channel_LOGIC_LEVEL_CONVERTER,
Module4,HW-668_step-up,1,HW-668_step-up,
Q1,TO-251-3_Vertical,1,IRLU024N,
Q2,TO-126-3_Vertical,1,BD238,
Q4,TO220V,1,IRF9Z34N,
Q5,TO127P254X533-3,1,MCP1702-2802E_TO,MCP1702-2802E/TO
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330,
"R10, R13, R14",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
"R11, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,5,470,
R15,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,1,22,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,10k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470k,
R22,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,1,2.7,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,4.7k,
"SW1, SW2",SW_PUSH_6mm_H4.3mm,2,SW_Push,
