Designator,Mid X,Mid Y,Rotation,Layer
C1,67.31,-27.94,180.0,top
C4,19.431,-26.67,180.0,top
C5,15.24,-17.24,90.0,top
D1,1.738,-30.734,0.0,top
D11,39.37,-10.16,90.0,top
D2,60.96,-31.75,180.0,top
D3,71.247,-53.213,180.0,top
D6,71.247,-56.515,180.0,top
J1,82.55,-15.718,0.0,top
J10,3.048,-19.05,180.0,top
J2,16.51,-60.96,90.0,top
J3,72.39,-60.96,270.0,top
J4,52.07,-61.093,270.0,top
J5,3.048,-51.308,180.0,top
J6,82.55,-11.938,180.0,top
J7,10.414,-60.96,0.0,top
J8,10.414,-58.42,0.0,top
LOGO1,36.576,-21.082,0.0,top
Module1,41.91,-46.99,180.0,top
Module2,63.235,-32.98,0.0,top
Module4,48.19,-1.27,0.0,top
Q1,70.093,-20.32,0.0,top
Q2,56.134,-20.949,0.0,top
Q4,80.858,-26.162,90.0,top
Q5,49.276,-26.797,0.0,top
R1,6.604,-29.464,270.0,top
R10,77.47,-17.272,270.0,top
R11,39.37,-52.07,270.0,top
R13,52.324,-19.812,180.0,top
R14,55.118,-24.511,0.0,top
R15,14.986,-3.556,0.0,top
R17,60.96,-28.575,180.0,top
R2,26.035,-11.43,180.0,top
R22,14.986,-7.62,0.0,top
R3,64.008,-23.622,0.0,top
R4,26.8605,-15.1384,0.0,top
R5,41.91,-52.07,270.0,top
R6,44.45,-52.07,270.0,top
R7,46.99,-52.07,270.0,top
R8,49.53,-52.07,270.0,top
R9,77.724,-25.4,270.0,top
SW1,22.808,-56.86,180.0,top
SW2,28.448,-52.324,0.0,top
