Comment,Designator,Footprint,LCSC
4.7k,R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
MCP1702-2802E_TO,Q5,TO127P254X533-3,
100n,C4,C_Disc_D7.5mm_W2.5mm_P5.00mm,
10u,C5,CP_Radial_D5.0mm_P2.00mm,
LED,D1,LED_D3.0mm,
1N5819,D2,D_DO-41_SOD81_P7.62mm_Horizontal,
1N5819,D3,D_DO-41_SOD81_P7.62mm_Horizontal,
1N5819,D6,D_DO-41_SOD81_P7.62mm_Horizontal,
1N4735A 6.2V,D11,D_DO-41_SOD81_P7.62mm_Horizontal,
MountingHole,H1,MountingHole_M3,
MountingHole,H3,MountingHole_M3,
MountingHole,H4,MountingHole_M3,
4x Push Buttons,J2,PinHeader_1x06_P2.54mm_Vertical,
5x LEDs,J4,PinHeader_1x07_P2.54mm_Vertical,
ISP Programmer,J5,PinHeader_1x06_P2.54mm_Vertical,
Accumulator,J6,PinHeader_1x02_P2.54mm_Vertical,
charge,J10,PinHeader_1x03_P2.54mm_Vertical,
Jumper,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,
CC1101_transceiver_module,Module2,CC1101,
IRLU024N,Q1,TO-251-3_Vertical,
330,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
470k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1k,R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
1k,R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
10k,R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
2.7,R22,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,
SW_Push,SW1,SW_PUSH_6mm_H4.3mm,
MountingHole,H2,MountingHole_M3,
Arduino_Pro_Mini_328P_1,Module1,ArduinoProMini,
100K,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
5V  supply,J1,PinHeader_1x02_P2.54mm_Vertical,
IRF9Z34N,Q4,TO220V,
470,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
470,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
470,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
470,R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
4.7k,R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
1k,R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
470,R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
MountingHole,H5,MountingHole_M3,
MountingHole,H7,MountingHole_M3,
MountingHole,H8,MountingHole_M3,
10uF,C1,CP_Radial_D5.0mm_P2.50mm,
MountingHole,H6,MountingHole_M3,
4x Relais,J3,PinHeader_1x06_P2.54mm_Vertical,
BD238,Q2,TO-126-3_Vertical,
4_channel_LOGIC_LEVEL_CONVERTER,Module3,4_channel_LOGIC_LEVEL_CONVERTER,
GND,J7,PinHeader_1x01_P1.27mm_Vertical,
100k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
SW_Push,SW2,SW_PUSH_6mm_H4.3mm,
HW-668_step_up,Module4,HW-668_step-up,
22,R15,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,
VCC,J8,PinHeader_1x01_P1.27mm_Vertical,
