Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C4,C6,C7,C8",C_0402_1005Metric,C1525,5
10u,C5,C_0402_1005Metric,C15525,1
10u,"C2,C3",C_0805_2012Metric,C15850,2
ATMEGA1284P-MUR,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm_ThermalVias,C2053632,1
22,R2,R_0402_1005Metric,C25092,1
10k,R1,R_0402_1005Metric,C25744,1
TPS61221DCK,U2,Texas_R-PDSO-G6,C2865756,1
EVPBB0AAB000,S1,SW_EVPBB0AAB000,C558803,1
4.7u,L1,FUEL4EP_Inductor_SMD_1,C576538,1
8MHz,Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C882602,1
FTDI Basic,J1,PinHeader_1x06_P2.54mm_Vertical_FUEL4EP,,1
Conn_01x05,J4,PinHeader_1x05_P2.54mm_Vertical_FUEL4EP,,1
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical_FUEL4EP,,1
Conn_01x12,J3,PinHeader_1x12_P2.54mm_Vertical_FUEL4EP,,1
Conn_01x12,J2,PinHeader_1x12_P2.54mm_Vertical_FUEL4EP,,1
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,,1
