Designator,Mid X,Mid Y,Rotation,Layer
AE1,11.049,33.0615,0.0,top
C1,3.81,11.049,90.0,top
C10,16.764,2.794,0.0,top
C11,4.953,19.685,90.0,top
C12,3.937,19.685,90.0,top
C13,3.429,26.543,180.0,top
C14,17.272,1.27,270.0,top
C2,12.986,10.829,0.0,top
C3,12.7,26.416,180.0,top
C4,19.429,17.653,90.0,top
C5,10.525,2.81,0.0,top
C6,12.7,25.4,0.0,top
C7,4.985,17.814,270.0,top
C8,11.081,10.702,0.0,top
C9,10.525,8.144,0.0,top
D1,4.953,23.495,270.0,top
FB1,16.256,1.27,90.0,top
L1,6.207,2.921,90.0,top
L2,1.397,26.416,180.0,top
R1,14.224,26.035,90.0,top
R2,9.049,10.956,0.0,top
R3,17.018,10.922,180.0,top
R4,4.951,21.59,90.0,top
R5,17.272,4.699,90.0,top
R6,16.256,4.699,90.0,top
U1,12.19,18.161,270.0,top
U2,10.525,5.35,180.0,top
