"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","SWRA416 868MHz PCB Antenna","~","FUEL4EP:Texas_SWRA416_868MHz_915MHz","1",""
"C1,C2,C4,C6,C7,C8,C11","100n","~","Capacitor_SMD:C_0402_1005Metric","7",""
"C3,C5,C9,C12","10u","~","-- verschiedene Werte --","4",""
"C13","1pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"D1","LED red 0402","~","LED_SMD:LED_0402_1005Metric","1",""
"J1","Power","~","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical","1",""
"J2","FTDI Debuger","~","FUEL4EP:PogoPinHeader_SMD_1x06_P2.54mm_Vertical","1",""
"J3","ISP Programmer","~","FUEL4EP:PogoPinHeader_SMD_1x06_P2.54mm_Vertical","1",""
"J4","IO1","~","Connector_PinHeader_1.27mm:PinHeader_1x08_P1.27mm_Vertical","1",""
"J5","IO2","~","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical","1",""
"J6","IO3","~","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","1",""
"JP1","Reset","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP2","Config","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"L1","4.7u","~","FUEL4EP:FUEL4EP_Inductor_SMD_1","1",""
"L2","12nH","~","Inductor_SMD:L_0402_1005Metric","1",""
"Module1","E07-900MM10S","","FUEL4EP:eByte_E07-900MM10S","1",""
"R1","10k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R2","22","~","Resistor_SMD:R_0402_1005Metric","1",""
"R3","0 Ohm","~","Resistor_SMD:R_0402_1005Metric","1",""
"R4","470","~","Resistor_SMD:R_0402_1005Metric","1",""
"TP1","GND","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"TP2","Vaccu","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"TP3","ext. clock input","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"U1","ATmega1284P-AU","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf","Package_QFP:TQFP-44_10x10mm_P0.8mm","1",""
"U2","TPS61221DCK","http://www.ti.com/lit/ds/symlink/tps61220.pdf","Package_TO_SOT_SMD:Texas_R-PDSO-G6","1",""
