Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,SWRA416 868MHz PCB Antenna,Texas_SWRA416_868MHz_915MHz,11.049,33.0615,0.0,top
C1,100n,C_0402_1005Metric,3.81,11.049,90.0,top
C11,100n,C_0402_1005Metric,4.953,19.685,90.0,top
C12,10u,C_0402_1005Metric,3.937,19.685,90.0,top
C13,1pF,C_0402_1005Metric,3.429,26.543,180.0,top
C2,100n,C_0402_1005Metric,12.986,10.829,0.0,top
C3,10u,C_0402_1005Metric,12.7,26.416,180.0,top
C4,100n,C_0402_1005Metric,19.429,17.653,90.0,top
C5,10u,C_0805_2012Metric,10.525,2.81,0.0,top
C6,100n,C_0402_1005Metric,12.7,25.4,0.0,top
C7,100n,C_0402_1005Metric,4.985,17.814,-90.0,top
C8,100n,C_0402_1005Metric,11.081,10.702,0.0,top
C9,10u,C_0805_2012Metric,10.525,8.144,0.0,top
D1,LED red 0402,LED_0402_1005Metric,4.953,23.495,-90.0,top
J1,Power,PinHeader_1x03_P1.27mm_Vertical,1.8288,5.1816,0.0,top
J2,FTDI Debuger,PogoPinHeader_SMD_1x06_P2.54mm_Vertical,1.778,17.526001,180.0,top
J3,ISP Programmer,PogoPinHeader_SMD_1x06_P2.54mm_Vertical,1.778,17.526001,180.0,bottom
J4,IO1,PinHeader_1x08_P1.27mm_Vertical,20.1676,5.8166,180.0,top
J5,IO2,PinHeader_1x03_P1.27mm_Vertical,6.2484,8.382,90.0,top
J6,IO3,PinHeader_1x01_P1.27mm_Vertical,20.1676,26.0096,0.0,top
L1,4.7u,FUEL4EP_Inductor_SMD_1,6.207,2.871,90.0,top
L2,12nH,L_0402_1005Metric,1.397,26.416,180.0,top
R1,10k,R_0402_1005Metric,14.224,26.035,90.0,top
R2,22,R_0402_1005Metric,9.0932,10.5156,0.0,top
R3,0 Ohm,R_0402_1005Metric,16.8656,10.0584,-90.0,top
R4,470,R_0402_1005Metric,4.951,21.59,90.0,top
U1,ATmega1284P-AU,TQFP-44_10x10mm_P0.8mm,12.19,18.161,180.0,top
U2,TPS61221DCK,Texas_R-PDSO-G6,10.525,5.35,180.0,top
