"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","SWRA416 868MHz PCB Antenna","~","FUEL4EP:Texas_SWRA416_868MHz_915MHz","1",""
"C1,C2,C4,C6,C7,C8,C11,C15","100n","~","Capacitor_SMD:C_0402_1005Metric","8",""
"C3,C5,C9,C12","10u","~","-- verschiedene Werte --","4",""
"C13","1pF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C14,L1","4.7u","~","-- verschiedene Werte --","2",""
"D1","LED red 0402","~","LED_SMD:LED_0402_1005Metric","1",""
"FB1","FerriteBead","~","Inductor_SMD:L_0402_1005Metric","1",""
"H1,H2,H3,H4","MountingHole","~","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","4",""
"J1","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","FTDI Debuger","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J3","ISP Programmer","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"JP1","Reset","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1",""
"L2","12nH","~","Inductor_SMD:L_0402_1005Metric","1",""
"Module1","E07-900MM10S","","FUEL4EP:eByte_E07-900MM10S","1",""
"R1","10k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R2","22","~","Resistor_SMD:R_0402_1005Metric","1",""
"R3","0 Ohm","~","Resistor_SMD:R_0402_1005Metric","1",""
"R4","470","~","Resistor_SMD:R_0402_1005Metric","1",""
"R5,R6","4.7k","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW1","Config button","https://datasheet.lcsc.com/lcsc/2002271431_XKB-Connectivity-TS-1187A-B-A-B_C318884.pdf","SW_TS-1187A-B-A-B","1",""
"U1","ATmega1284P-AU","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf","Package_QFP:TQFP-44_10x10mm_P0.8mm","1",""
"U2","TPS61221DCK","http://www.ti.com/lit/ds/symlink/tps61220.pdf","Package_TO_SOT_SMD:Texas_R-PDSO-G6","1",""
"U3","SHT45-AD1B-R2","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","1",""
