Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C11,C15,C2,C4,C6,C7,C8",C_0402_1005Metric,C1525,8
10u,"C12,C3",C_0402_1005Metric,C15525,2
10u,"C5,C9",C_0805_2012Metric,C15850,2
0 Ohm,R3,R_0402_1005Metric,C17168,1
22,R2,R_0402_1005Metric,C23345,1
4.7u,C14,C_0402_1005Metric,C23733,1
470,R4,R_0402_1005Metric,C25117,1
10k,R1,R_0402_1005Metric,C25744,1
4.7k,"R5,R6",R_0402_1005Metric,C25900,2
LED red 0402,D1,LED_0402_1005Metric,C273598,1
TPS61221DCK,U2,Texas_R-PDSO-G6,C2865756,1
Config button,SW1,SW_TS-1187A-B-A-B,C318884,1
12nH,L2,L_0402_1005Metric,C3223181,1
ATmega1284P-AU,U1,TQFP-44_10x10mm_P0.8mm,C33575,1
SHT45-AD1B-R2,U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C5221601,1
4.7u,L1,FUEL4EP_Inductor_SMD_1,C576538,1
E07-900MM10S,Module1,eByte_E07-900MM10S,C5844212,1
1pF,C13,C_0402_1005Metric,C72134,1
FerriteBead,FB1,L_0402_1005Metric,C76889,1
Reset,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
MountingHole,H4,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
MountingHole,H3,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
MountingHole,H1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
MountingHole,H2,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,,1
ISP Programmer,J3,PinHeader_1x06_P2.54mm_Vertical,,1
FTDI Debuger,J2,PinHeader_1x06_P2.54mm_Vertical,,1
