Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,SWRA416 868MHz PCB Antenna,Texas_SWRA416_868MHz_915MHz,14.478,67.945,0.0,top
C1,100n,C_0402_1005Metric,11.303,37.211,0.0,top
C2,100n,C_0402_1005Metric,17.272,19.05,0.0,top
C3,10u,C_0402_1005Metric,15.494,35.052,180.0,top
C4,100n,C_0402_1005Metric,22.606,26.289,90.0,top
C5,10u,C_0805_2012Metric,14.986,8.763,90.0,top
C6,100n,C_0402_1005Metric,15.494,34.036,0.0,top
C7,100n,C_0402_1005Metric,7.62,26.67,-90.0,top
C8,100n,C_0402_1005Metric,13.716,19.05,0.0,top
C9,10u,C_0805_2012Metric,9.652,8.763,90.0,top
C11,100n,C_0402_1005Metric,19.685,54.483,180.0,top
C12,10u,C_0402_1005Metric,19.685,55.499,180.0,top
C13,1pF,C_0402_1005Metric,5.461,59.055,90.0,top
C14,4.7u,C_0402_1005Metric,5.207,14.224,90.0,top
C15,100n,C_0402_1005Metric,3.683,14.224,-90.0,top
D1,LED red 0402,LED_0402_1005Metric,8.128,32.766,-90.0,top
FB1,FerriteBead,L_0402_1005Metric,5.715,11.684,90.0,top
L1,4.7u,FUEL4EP_Inductor_SMD_1,12.192,4.445,180.0,top
L2,12nH,L_0402_1005Metric,5.969,60.579,0.0,top
R1,10k,R_0402_1005Metric,12.827,38.862,180.0,top
R2,22,R_0402_1005Metric,10.795,19.05,0.0,top
R3,0 Ohm,R_0402_1005Metric,21.209,19.558,180.0,top
R4,470,R_0402_1005Metric,8.128,30.861,90.0,top
R5,4.7k,R_0402_1005Metric,4.191,12.192,180.0,top
R6,4.7k,R_0402_1005Metric,4.572,16.256,180.0,top
SW1,Config button,SW_TS-1187A-B-A-B,21.497172,12.047667,90.0,top
U1,ATmega1284P-AU,TQFP-44_10x10mm_P0.8mm,15.367,26.797,180.0,top
U2,TPS61221DCK,Texas_R-PDSO-G6,12.446,8.763,90.0,top
U3,SHT45-AD1B-R2,SHT4X,1.74,14.214,0.0,top
