Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA416_868MHz_915MHz,1,SWRA416 868MHz PCB Antenna,
"C1, C2, C4, C6, C8",0805,5,100n,C28233
C11,0402,1,100n,
C12,0402,1,10uF,C7171
C13,0402,1,1pF,C710646
C14,0603,1,4.7u,C19666
C15,0603,1,100n,C14663
C3,1206,1,10u,C7171
"C5, C9",0805,2,10u,C15850
D1,0402,1,LED red 3mm,C84256
FB1,0402,1,FerriteBead,C76889
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,PinHeader_1x06_P2.54mm_Vertical,1,FTDI Debuger,
J3,PinHeader_1x06_P2.54mm_Vertical,1,ISP Programmer,
L1,FUEL4EP_Inductor_SMD_1,1,4.7u,C86077
L2,0402,1,12nH,C2043991
Module1,eByte_E07-900MM10S,1,E07-900MM10S,C5844212
R1,0402,1,10k,C17733
R2,0402,1,22,C23345
R3,0402,1,0 Ohm,
R4,0402,1,470,C17710
"R5, R6",0402,2,4.7k,C25900
SW1,SW_TS-1187A-B-A-B,1,Config button,C318884
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega1284P-AU,C33575
U2,Texas_R-PDSO-G6,1,TPS61221DCK,C37055
U3,SHT4X,1,SHT45-AD1F-R2,C5360602
