Designator,Mid X,Mid Y,Rotation,Layer
AE1,14.713,67.6656,0.0,top
BT1,16.256,3.302,90.0,bottom
C1,16.0846,37.7444,0.0,top
C11,20.3518,54.7624,180.0,top
C12,20.301,55.7784,180.0,top
C13,5.696,59.055,90.0,top
C14,7.1946,14.2748,180.0,top
C15,7.4486,15.8496,0.0,top
C2,17.6086,18.796,180.0,top
C3,19.4374,36.8808,90.0,top
C4,21.9266,36.8808,90.0,top
C5,15.1702,8.9916,90.0,top
C6,12.2746,37.846,0.0,top
C8,13.7986,18.7452,180.0,top
C9,9.8362,8.9408,90.0,top
D1,9.9886,35.1536,0.0,top
FB1,11.2078,15.0876,0.0,top
H1,9.76,59.182,0.0,top
H2,22.587,59.182,0.0,top
H3,6.7882,3.1496,0.0,top
H4,19.9454,3.1496,0.0,top
J1,2.4862,7.4526,0.0,top
J2,2.4862,37.0332,0.0,top
J3,2.4862,56.0832,0.0,top
L1,12.3762,4.6228,180.0,top
L2,6.204,60.579,0.0,top
LOGO1,5.9754,35.3568,90.0,top
Module1,22.761,53.1076,270.0,top
R1,16.6942,35.2044,0.0,top
R2,11.0046,19.2024,180.0,top
R3,18.0658,16.8148,0.0,top
R4,12.2746,35.56,0.0,top
R5,2.8258,13.3604,0.0,top
R6,2.8258,18.0848,180.0,top
SW1,22.0282,11.1325,90.0,top
U1,15.6274,27.0764,270.0,top
U2,12.5794,8.89,270.0,top
U3,2.0638,15.6972,0.0,top
