Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C2, C3, C4",C_Disc_D7.5mm_W2.5mm_P5.00mm,3,100n,
C5,CP_Radial_D5.0mm_P2.00mm,1,10u,
"D10, D7",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
D11,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4735A 6.2V,
"D2, D6",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
"H1, H2, H3, H4",MountingHole_M3,4,MountingHole,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Down Button,
J10,PinHeader_1x03_P2.54mm_Vertical,1,charge,
J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,24V PSU,
J12,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,230V Netzteil Relais,
J13,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Velux Motor,
J14,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Motor direction LEDs,
J15,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Charge Indication LED,
J16,PinHeader_1x04_P2.54mm_Vertical,1,H Brücke Relais In,
J17,PinHeader_1x03_P2.54mm_Vertical,1,Motor Relais In,
J18,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J19,PinHeader_1x01_P1.27mm_Vertical,1,GND,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Up Button,
J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Dual LED,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Config Button,
J5,PinHeader_1x06_P2.54mm_Vertical,1,ISP Programmer,
J6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Accumulator,
J7,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,LED rot,
J8,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,LED grün,
J9,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,LED gelb,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,Jumper,
LOGO1,CC-BY-ND-SA,1,Logo_Open_Hardware_Small,
Module1,ArduinoProMini,1,Arduino_Pro_Mini_328P_1,
Module2,CC1101,1,CC1101_transceiver_module,
Module3,4_channel_LOGIC_LEVEL_CONVERTER,1,>VALUE,
Module4,LM2596_buck,1,LM2596_buck 24V->6.3V,
Module5,1_channel_relay_module,1,Velux Motor Relais,
Module6,2_channel_relay_module,1,Velux Motor H-Brücken Relais,
Q1,TO-251-3_Vertical,1,IRLU024N,
Q2,TO-126-3_Vertical,1,BD238,
Q3,TO220V,1,IRF9Z34N,
Q4,TO-92_Inline,1,2N7000,
Q5,TO127P254X533-3,1,MCP1702-2802E_TO,MCP1702-2802E/TO
"R1, R10, R11, R12, R23, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,330,
"R13, R14, R15, R20",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,1k,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1.2k,
"R17, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,10k,
R18,R_Axial_DIN0614_L14.3mm_D5.7mm_P15.24mm_Horizontal,1,180,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,4.7k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470k,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2.7k,
R22,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,2.7,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,100K,
"R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,470,
