Designator,Mid X,Mid Y,Rotation,Layer
C1,29.885,-74.93,0.0,top
C2,43.26,-31.75,0.0,top
C3,43.26,-27.94,0.0,top
C4,43.18,-67.945,0.0,top
C5,55.245,-32.385,90.0,top
D10,91.8464,-15.8242,270.0,top
D11,13.462,-49.022,0.0,top
D2,61.214,-57.658,180.0,top
D6,58.674,-75.946,180.0,top
D7,64.77,-26.924,180.0,top
J1,6.35,-29.21,270.0,top
J10,18.415,-24.765,180.0,top
J11,107.95,-7.62,180.0,top
J12,85.09,-7.62,180.0,top
J13,119.38,-7.62,180.0,top
J14,118.11,-21.59,90.0,top
J15,52.705,-90.678,0.0,top
J16,62.865,-78.105,0.0,top
J17,67.945,-36.83,0.0,top
J18,63.246,-69.596,180.0,top
J19,23.114,-28.194,0.0,top
J2,6.35,-17.78,270.0,top
J3,6.35,-40.64,270.0,top
J4,21.59,-7.62,180.0,top
J5,35.052,-58.674,90.0,top
J6,96.52,-7.62,180.0,top
J7,6.35,-57.15,270.0,top
J8,6.35,-80.01,270.0,top
J9,6.35,-68.58,270.0,top
LOGO1,91.1606,-82.6262,0.0,top
Module1,30.48,-35.56,0.0,top
Module2,26.67,-78.74,0.0,top
Module4,26.394,-2.645,0.0,top
Module5,71.39,-26.67,0.0,top
Module6,66.215,-55.725,0.0,top
Q1,22.86,-40.64,180.0,top
Q2,53.34,-68.58,0.0,top
Q3,95.9612,-19.3294,90.0,top
Q4,80.01,-22.86,180.0,top
Q5,43.3324,-72.9488,90.0,top
R1,13.97,-60.325,0.0,top
R10,21.59,-59.182,270.0,top
R11,31.115,-67.691,180.0,top
R12,38.1,-64.135,270.0,top
R13,64.008,-55.372,270.0,top
R14,53.34,-64.135,0.0,top
R15,110.998,-14.986,180.0,top
R16,111.125,-24.13,90.0,top
R17,48.26,-63.5,180.0,top
R18,73.025,-16.51,0.0,top
R19,19.05,-54.61,180.0,top
R2,21.7043,-56.6293,0.0,top
R20,88.265,-24.13,180.0,top
R21,94.234,-18.4658,270.0,top
R22,25.908,-45.466,180.0,top
R23,58.42,-80.645,180.0,top
R3,27.305,-35.56,270.0,top
R4,29.21,-60.325,180.0,top
R5,26.67,-27.94,0.0,top
R6,26.67,-31.75,0.0,top
R7,13.97,-57.15,0.0,top
R8,39.37,-27.94,180.0,top
R9,39.37,-31.75,180.0,top
