Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Radial_D5.0mm_P2.50mm,31.090112,21.79,0.0,top
C2,100n,C_Disc_D7.5mm_W2.5mm_P5.00mm,45.76,64.97,0.0,top
C3,100n,C_Disc_D7.5mm_W2.5mm_P5.00mm,45.76,68.78,0.0,top
C4,100n,C_Disc_D7.5mm_W2.5mm_P5.00mm,45.68,28.775,0.0,top
C5,10u,CP_Radial_D5.0mm_P2.00mm,55.245,65.290113,90.0,top
D2,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,56.134,39.062,180.0,top
D6,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,53.594,20.774,180.0,top
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,60.96,69.796,180.0,top
D10,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,91.8464,77.0858,-90.0,top
D11,1N4735A 6.2V,D_DO-41_SOD81_P10.16mm_Horizontal,18.542,47.698,0.0,top
J1,Down Button,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.655,64.965,-90.0,top
J2,Up Button,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.655,76.395,-90.0,top
J3,Dual LED,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",6.655,50.995,-90.0,top
J4,Config Button,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",19.045,88.795,180.0,top
J5,ISP Programmer,PinHeader_1x06_P2.54mm_Vertical,41.402,38.046,90.0,top
J6,Accumulator,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",93.975,88.795,180.0,top
J7,LED rot,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.655,37.025,-90.0,top
J8,LED grün,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.655,14.165,-90.0,top
J9,LED gelb,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.655,25.595,-90.0,top
J10,charge,PinHeader_1x03_P2.54mm_Vertical,18.415,74.48,180.0,top
J11,24V PSU,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",105.405,88.795,180.0,top
J12,230V Netzteil Relais,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",80.005,88.795,180.0,top
J13,Velux Motor,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",116.835,88.795,180.0,top
J14,Motor direction LEDs,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",117.805,77.675,90.0,top
J15,Charge Indication LED,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",55.25,6.347,0.0,top
J16,H Brücke Relais In,PinHeader_1x04_P2.54mm_Vertical,62.865,14.815,0.0,top
J17,Motor Relais In,PinHeader_1x03_P2.54mm_Vertical,67.945,57.365,0.0,top
J18,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,63.246,29.649,180.0,top
J19,GND,PinHeader_1x01_P1.27mm_Vertical,23.114,68.526,0.0,top
LOGO1,Logo_Open_Hardware_Small,CC-BY-ND-SA,91.17441,14.076614,0.0,top
Module1,Arduino_Pro_Mini_328P_1,ArduinoProMini,46.98,52.26,0.0,top
Module2,CC1101_transceiver_module,CC1101,37.67,9.48,0.0,top
Module4,LM2596_buck 24V->6.3V,LM2596_buck,47.994,83.425,0.0,top
Module5,Velux Motor Relais,1_channel_relay_module,96.39,56.95,0.0,top
Module6,Velux Motor H-Brücken Relais,2_channel_relay_module,91.415,21.745,0.0,top
Q1,IRLU024N,TO-251-3_Vertical,20.57,55.96,180.0,top
Q2,BD238,TO-126-3_Vertical,55.88,28.515,0.0,top
Q3,IRF9Z34N,TO220V,98.1612,77.3906,90.0,top
Q4,2N7000,TO-92_Inline,78.74,73.5,180.0,top
Q5,MCP1702-3302E/TO,TO127P254X533-3,43.927599,22.5212,90.0,top
R1,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,16.51,36.395,0.0,top
R2,470k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,25.5143,40.0907,0.0,top
R3,100K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,27.305,58.62,-90.0,top
R4,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,26.67,36.395,180.0,top
R5,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,29.21,68.78,0.0,top
R6,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,29.21,64.97,0.0,top
R7,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,16.51,39.57,0.0,top
R8,470,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,36.83,68.78,180.0,top
R9,470,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,36.83,64.97,180.0,top
R10,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,21.59,34.998,-90.0,top
R11,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,28.575,29.029,180.0,top
