Comment,Designator,Footprint,LCSC
FerriteBead,FB1,L_0402_1005Metric,C76889
4.7u,C1,C_0603_1608Metric,
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,
BME680,U1,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,
100n,C3,C_0603_1608Metric,
4.7k,R1,R_0402_1005Metric,
10k,R3,R_0402_1005Metric,
100n,C4,C_0603_1608Metric,
4.7k,R2,R_0402_1005Metric,
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,
