Comment,Designator,Footprint,LCSC,Quantity
100n,"C2,C3,C4",C_0603_1608Metric,C14663,3
10k,"R1,R2",R_0402_1005Metric,C25744,2
4.7u,C1,C_0603_1608Metric,C19666,1
BME280,U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,C92489,1
FerriteBead,FB1,L_0402_1005Metric,C76889,1
SHT45-AD1B-R2,U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C5221601,1
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,,1
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,,1
Logo_Open_Hardware_Small,LOGO1,CC-BY-ND-SA,,1
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
