;Datenpunkt;Luftgütesensor 1.TEMPERATURE;Luftgütesensor 2.TEMPERATURE;Luftgütesensor 3.TEMPERATURE;Wetterstation.HUMIDITY;Wetterstation.TEMPERATURE;absolute_Luftfeuchte_aussen.VALUE
;Einheit;°C;°C;°C;%;°C;g/kg
Zeistempel;Status;Wert;Wert;Wert;Wert;Wert;Wert
04.10.2020 17:10:39.329;2;44.9;38.8;101.5;66;13.4;7.667
04.10.2020 17:11:02.903;2;44.9;38.8;101.5;66;13.4;7.667
04.10.2020 17:11:02.913;2;44.9;38.8;101.5;66;13.4;7.667
04.10.2020 17:11:52.502;2;45;38.8;101.5;66;13.4;7.667
04.10.2020 17:12:09.850;2;45;38.6;101.5;66;13.4;7.667
04.10.2020 17:13:42.158;2;45;38.6;101.5;66;13.4;7.667
04.10.2020 17:13:42.159;2;45;38.6;101.5;66;13.4;7.667
04.10.2020 17:13:54.838;2;45;38.6;102.1;66;13.4;7.667
04.10.2020 17:16:06.905;2;45;38.6;102.1;66;13.4;7.667
04.10.2020 17:16:06.917;2;45;38.6;102.1;66;13.4;7.667
04.10.2020 17:16:23.321;2;44.9;38.6;102.1;66;13.4;7.667
04.10.2020 17:16:35.892;2;44.9;38.6;102.1;66;13.4;7.667
04.10.2020 17:17:55.620;2;44.9;38.6;102.4;66;13.4;7.667
04.10.2020 17:18:17.411;2;44.9;38.6;102.4;66;13.4;7.667
04.10.2020 17:18:17.415;2;44.9;38.6;102.4;66;13.4;7.667
04.10.2020 17:20:00.000;2;44.9;38.6;102.4;66;13.4;7.667
04.10.2020 17:20:54.136;2;45.6;38.6;102.4;66;13.4;7.667
04.10.2020 17:21:01.927;2;45.6;38.6;102.4;66;13.4;7.667
04.10.2020 17:21:17.411;2;45.6;38.6;102.4;66;13.3;7.667
04.10.2020 17:21:17.413;2;45.6;38.6;102.4;66;13.3;7.667
04.10.2020 17:21:56.380;2;45.6;38.6;102.8;66;13.3;7.667
04.10.2020 17:24:02.911;2;45.6;38.6;102.8;66;13.3;7.667
04.10.2020 17:24:02.922;2;45.6;38.6;102.8;66;13.3;7.667
04.10.2020 17:25:24.955;2;45.3;38.6;102.8;66;13.3;7.667
04.10.2020 17:25:27.962;2;45.3;38.7;102.8;66;13.3;7.667
04.10.2020 17:25:57.190;2;45.3;38.7;102.6;66;13.3;7.667
04.10.2020 17:26:34.164;2;45.3;38.7;102.6;66;13.3;7.667
04.10.2020 17:26:34.176;2;45.3;38.7;102.6;67;13.3;7.667
04.10.2020 17:28:50.914;2;45.3;38.7;102.6;67;13.3;7.667
04.10.2020 17:28:50.924;2;45.3;38.7;102.6;67;13.3;7.667
04.10.2020 17:29:53.998;2;45.3;38.6;102.6;67;13.3;7.667
04.10.2020 17:29:55.772;2;45.1;38.6;102.6;67;13.3;7.667
04.10.2020 17:29:57.932;2;45.1;38.6;102.7;67;13.3;7.667
04.10.2020 17:30:00.000;2;45.1;38.6;102.7;67;13.3;7.735
04.10.2020 17:30:53.169;2;45.1;38.6;102.7;67;13.3;7.735
04.10.2020 17:30:53.172;2;45.1;38.6;102.7;67;13.3;7.735
04.10.2020 17:33:44.928;2;45.1;38.6;102.7;67;13.3;7.735
04.10.2020 17:33:44.961;2;45.1;38.6;102.7;67;13.3;7.735
04.10.2020 17:33:58.755;2;45.1;38.6;100.7;67;13.3;7.735
04.10.2020 17:34:20.255;2;45.1;38.5;100.7;67;13.3;7.735
04.10.2020 17:34:26.594;2;44.2;38.5;100.7;67;13.3;7.735
04.10.2020 17:36:22.169;2;44.2;38.5;100.7;67;13.3;7.735
04.10.2020 17:36:22.179;2;44.2;38.5;100.7;67;13.3;7.735
04.10.2020 17:37:59.542;2;44.2;38.5;100.2;67;13.3;7.735
04.10.2020 17:38:45.170;2;44.2;38.5;100.2;67;13.4;7.735
04.10.2020 17:38:45.180;2;44.2;38.5;100.2;67;13.4;7.735
04.10.2020 17:38:46.286;2;44.2;38.4;100.2;67;13.4;7.735
04.10.2020 17:38:57.411;2;44.1;38.4;100.2;67;13.4;7.735
04.10.2020 17:40:00.000;2;44.1;38.4;100.2;67;13.4;7.783
04.10.2020 17:40:53.671;2;44.1;38.4;100.2;67;13.3;7.783
04.10.2020 17:40:53.680;2;44.1;38.4;100.2;67;13.3;7.783
04.10.2020 17:42:00.314;2;44.1;38.4;100.7;67;13.3;7.783
04.10.2020 17:43:12.318;2;44.1;38.4;100.7;67;13.3;7.783
04.10.2020 17:43:28.220;2;44.6;38.4;100.7;67;13.3;7.783
04.10.2020 17:43:51.924;2;44.6;38.4;100.7;67;13.3;7.783
04.10.2020 17:43:51.927;2;44.6;38.4;100.7;67;13.3;7.783
04.10.2020 17:46:01.113;2;44.6;38.4;101.2;67;13.3;7.783
04.10.2020 17:46:35.675;2;44.6;38.4;101.2;67;13.3;7.783
04.10.2020 17:46:35.685;2;44.6;38.4;101.2;66;13.3;7.783
04.10.2020 17:47:38.356;2;44.6;38.4;101.2;66;13.3;7.783
04.10.2020 17:47:59.029;2;45;38.4;101.2;66;13.3;7.783
04.10.2020 17:49:04.928;2;45;38.4;101.2;66;13.3;7.783
04.10.2020 17:49:04.931;2;45;38.4;101.2;66;13.3;7.783
04.10.2020 17:50:00.000;2;45;38.4;101.2;66;13.3;7.62
04.10.2020 17:50:01.869;2;45;38.4;101.6;66;13.3;7.62
04.10.2020 17:51:19.929;2;45;38.4;101.6;66;13.3;7.62
04.10.2020 17:51:19.932;2;45;38.4;101.6;67;13.3;7.62
04.10.2020 17:52:04.405;2;45;38.5;101.6;67;13.3;7.62
04.10.2020 17:52:29.841;2;44.4;38.5;101.6;67;13.3;7.62
04.10.2020 17:53:20.426;2;44.4;38.5;101.6;67;13.2;7.62
04.10.2020 17:53:20.433;2;44.4;38.5;101.6;67;13.2;7.62
04.10.2020 17:54:02.657;2;44.4;38.5;100.6;67;13.2;7.62
04.10.2020 17:56:10.443;2;44.4;38.5;100.6;67;13.1;7.62
04.10.2020 17:56:10.464;2;44.4;38.5;100.6;67;13.1;7.62
04.10.2020 17:56:30.439;2;44.4;38.5;100.6;67;13.1;7.62
04.10.2020 17:57:00.660;2;44.8;38.5;100.6;67;13.1;7.62
04.10.2020 17:58:03.425;2;44.8;38.5;100.7;67;13.1;7.62
04.10.2020 17:58:46.185;2;44.8;38.5;100.7;67;13.1;7.62
04.10.2020 17:58:46.187;2;44.8;38.5;100.7;67;13.1;7.62
04.10.2020 18:00:00.000;2;44.8;38.5;100.7;67;13.1;7.64
04.10.2020 18:00:56.480;2;44.8;38.4;100.7;67;13.1;7.64
04.10.2020 18:01:07.434;2;44.8;38.4;100.7;67;13;7.64
04.10.2020 18:01:07.436;2;44.8;38.4;100.7;67;13;7.64
04.10.2020 18:01:31.468;2;45;38.4;100.7;67;13;7.64
04.10.2020 18:02:04.216;2;45;38.4;100.6;67;13;7.64
04.10.2020 18:03:14.183;2;45;38.4;100.6;67;13;7.64
04.10.2020 18:03:14.192;2;45;38.4;100.6;68;13;7.64
04.10.2020 18:05:22.500;2;45;38.4;100.6;68;13;7.64
04.10.2020 18:06:02.295;2;44.9;38.4;100.6;68;13;7.64
04.10.2020 18:06:05.011;2;44.9;38.4;101;68;13;7.64
