;Datenpunkt;Luftgütesensor 2.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 2.MY_HUMIDITY;Luftgütesensor 2.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
28.12.2020 07:15:00,000;2;282.720;37,3;23,5
28.12.2020 07:18:21,995;2;282.720;37,3;23,5
28.12.2020 07:18:22,005;2;282.720;37,3;23,5
28.12.2020 07:18:22,011;2;285.240;37,3;23,5
28.12.2020 07:22:44,374;2;285.240;37,3;23,5
28.12.2020 07:22:44,384;2;285.240;37,3;23,5
28.12.2020 07:22:44,390;2;288.620;37,3;23,5
28.12.2020 07:27:06,763;2;288.620;37,3;23,5
28.12.2020 07:27:06,767;2;288.620;37,3;23,5
28.12.2020 07:27:06,773;2;292.000;37,3;23,5
28.12.2020 07:31:29,150;2;292.000;37,3;23,5
28.12.2020 07:31:29,154;2;292.000;37,4;23,5
28.12.2020 07:31:29,160;2;292.320;37,4;23,5
28.12.2020 07:35:51,560;2;292.320;37,4;23,5
28.12.2020 07:35:51,570;2;292.320;37,5;23,5
28.12.2020 07:35:51,577;2;292.220;37,5;23,5
28.12.2020 07:40:13,949;2;292.220;37,5;23,5
28.12.2020 07:40:13,953;2;292.220;37,6;23,5
28.12.2020 07:40:13,960;2;305.560;37,6;23,5
28.12.2020 07:48:58,711;2;305.560;37,6;23
28.12.2020 07:48:58,720;2;305.560;33,9;23
28.12.2020 07:48:58,726;2;403.820;33,9;23
28.12.2020 07:53:20,977;2;403.820;33,9;22,5
28.12.2020 07:53:20,980;2;403.820;33,6;22,5
28.12.2020 07:53:20,987;2;449.660;33,6;22,5
28.12.2020 07:57:43,215;2;449.660;33,6;22
28.12.2020 07:57:43,226;2;449.660;34,1;22
28.12.2020 07:57:43,234;2;481.240;34,1;22
28.12.2020 08:02:05,411;2;481.240;34,1;21,7
28.12.2020 08:02:05,414;2;481.240;34,8;21,7
28.12.2020 08:02:05,422;2;498.680;34,8;21,7
28.12.2020 08:06:27,617;2;498.680;34,8;21,8
28.12.2020 08:06:27,622;2;498.680;35,6;21,8
28.12.2020 08:06:27,629;2;512.700;35,6;21,8
28.12.2020 08:10:49,837;2;512.700;35,6;22
28.12.2020 08:10:49,848;2;512.700;35,8;22
28.12.2020 08:10:49,856;2;520.320;35,8;22
28.12.2020 08:15:12,087;2;520.320;35,8;22,3
28.12.2020 08:15:12,098;2;520.320;35,9;22,3
28.12.2020 08:15:12,108;2;523.860;35,9;22,3
28.12.2020 08:19:34,346;2;523.860;35,9;22,5
28.12.2020 08:19:34,356;2;523.860;36,4;22,5
28.12.2020 08:19:34,362;2;528.320;36,4;22,5
28.12.2020 08:23:56,603;2;528.320;36,4;22,6
28.12.2020 08:23:56,611;2;528.320;36,6;22,6
28.12.2020 08:23:56,618;2;536.300;36,6;22,6
28.12.2020 08:28:18,861;2;536.300;36,6;22,2
28.12.2020 08:28:18,866;2;536.300;35,4;22,2
28.12.2020 08:28:18,872;2;546.660;35,4;22,2
28.12.2020 08:32:41,047;2;546.660;35,4;21,8
28.12.2020 08:32:41,056;2;546.660;35,3;21,8
28.12.2020 08:32:41,060;2;558.820;35,3;21,8
28.12.2020 08:37:03,216;2;558.820;35,3;21,4
28.12.2020 08:37:03,229;2;558.820;35,5;21,4
28.12.2020 08:37:03,236;2;565.080;35,5;21,4
28.12.2020 08:41:25,421;2;565.080;35,5;21,3
28.12.2020 08:41:25,432;2;565.080;36,3;21,3
28.12.2020 08:41:25,439;2;564.820;36,3;21,3
28.12.2020 08:41:27,377;2;564.820;36,3;21,3
28.12.2020 08:41:27,387;2;564.820;36,3;21,3
28.12.2020 08:41:27,393;2;564.820;36,3;21,3
28.12.2020 08:41:29,683;2;564.820;36,3;21,3
28.12.2020 08:41:29,694;2;564.820;36,3;21,3
28.12.2020 08:41:29,700;2;564.820;36,3;21,3
28.12.2020 08:41:31,696;2;564.820;36,3;21,3
28.12.2020 08:41:31,706;2;564.820;36,3;21,3
28.12.2020 08:41:31,712;2;564.820;36,3;21,3
28.12.2020 08:41:33,710;2;564.820;36,3;21,3
28.12.2020 08:41:33,722;2;564.820;36,3;21,3
28.12.2020 08:41:33,731;2;564.820;36,3;21,3
28.12.2020 08:45:46,632;2;564.820;36,3;21,6
28.12.2020 08:45:46,650;2;564.820;36,7;21,6
28.12.2020 08:45:46,655;2;563.960;36,7;21,6
28.12.2020 08:50:08,834;2;563.960;36,7;21,9
28.12.2020 08:50:08,845;2;563.960;36,6;21,9
28.12.2020 08:50:08,851;2;559.820;36,6;21,9
28.12.2020 08:54:31,072;2;559.820;36,6;22,2
28.12.2020 08:54:31,085;2;559.820;36,6;22,2
28.12.2020 08:54:31,091;2;546.500;36,6;22,2
28.12.2020 08:58:53,320;2;546.500;36,6;22,4
28.12.2020 08:58:53,330;2;546.500;36,7;22,4
28.12.2020 08:58:53,336;2;525.320;36,7;22,4
28.12.2020 09:03:15,591;2;525.320;36,7;22,5
28.12.2020 09:03:15,594;2;525.320;36,9;22,5
28.12.2020 09:03:15,600;2;496.920;36,9;22,5
28.12.2020 09:07:37,870;2;496.920;36,9;22,6
28.12.2020 09:07:37,872;2;496.920;37,1;22,6
28.12.2020 09:07:37,878;2;487.660;37,1;22,6
28.12.2020 09:12:00,189;2;487.660;37,1;22,7
28.12.2020 09:12:00,192;2;487.660;35,7;22,7
28.12.2020 09:12:00,199;2;515.100;35,7;22,7
28.12.2020 09:16:22,410;2;515.100;35,7;22,2
28.12.2020 09:16:22,420;2;515.100;33,6;22,2
28.12.2020 09:16:22,425;2;542.760;33,6;22,2
28.12.2020 09:20:44,607;2;542.760;33,6;21,6
28.12.2020 09:20:44,611;2;542.760;33,3;21,6
28.12.2020 09:20:44,617;2;564.600;33,3;21,6
28.12.2020 09:25:06,792;2;564.600;33,3;21,4
28.12.2020 09:25:06,800;2;564.600;34,7;21,4
28.12.2020 09:25:06,806;2;569.660;34,7;21,4
28.12.2020 09:29:28,993;2;569.660;34,7;21,6
28.12.2020 09:29:29,002;2;569.660;35,1;21,6
28.12.2020 09:29:29,009;2;573.280;35,1;21,6
28.12.2020 09:33:51,205;2;573.280;35,1;21,8
28.12.2020 09:33:51,209;2;573.280;35,3;21,8
28.12.2020 09:33:51,214;2;570.120;35,3;21,8
28.12.2020 09:38:13,425;2;570.120;35,3;22
28.12.2020 09:38:13,434;2;570.120;35,8;22
28.12.2020 09:38:13,440;2;565.420;35,8;22
28.12.2020 09:42:35,656;2;565.420;35,8;22,1
28.12.2020 09:42:35,665;2;565.420;36,4;22,1
28.12.2020 09:42:35,670;2;557.960;36,4;22,1
28.12.2020 09:46:57,987;2;557.960;36,4;22,2
28.12.2020 09:46:57,998;2;557.960;36,7;22,2
28.12.2020 09:46:58,004;2;554.740;36,7;22,2
28.12.2020 09:51:20,230;2;554.740;36,7;22,2
28.12.2020 09:51:20,239;2;554.740;36,8;22,2
28.12.2020 09:51:20,245;2;549.500;36,8;22,2
28.12.2020 09:55:42,518;2;549.500;36,8;22,3
28.12.2020 09:55:42,521;2;549.500;36,9;22,3
28.12.2020 09:55:42,527;2;545.180;36,9;22,3
28.12.2020 10:00:04,765;2;545.180;36,9;22,4
28.12.2020 10:00:04,769;2;545.180;37;22,4
28.12.2020 10:00:04,775;2;542.240;37;22,4
28.12.2020 10:04:27,027;2;542.240;37;22,5
28.12.2020 10:04:27,038;2;542.240;37,1;22,5
28.12.2020 10:04:27,044;2;539.460;37,1;22,5
28.12.2020 10:08:49,293;2;539.460;37,1;22,5
28.12.2020 10:08:49,302;2;539.460;37;22,5
28.12.2020 10:08:49,308;2;535.820;37;22,5
28.12.2020 10:13:11,560;2;535.820;37;22,5
28.12.2020 10:13:11,570;2;535.820;37,1;22,5
28.12.2020 10:13:11,577;2;531.100;37,1;22,5
28.12.2020 10:17:33,841;2;531.100;37,1;22,6
28.12.2020 10:17:33,845;2;531.100;37,4;22,6
28.12.2020 10:17:33,851;2;527.680;37,4;22,6
28.12.2020 10:21:56,118;2;527.680;37,4;22,7
28.12.2020 10:21:56,126;2;527.680;37,5;22,7
28.12.2020 10:21:56,131;2;527.540;37,5;22,7
28.12.2020 10:26:18,404;2;527.540;37,5;22,7
28.12.2020 10:26:18,407;2;527.540;37,2;22,7
28.12.2020 10:26:18,412;2;525.040;37,2;22,7
28.12.2020 10:30:40,688;2;525.040;37,2;22,7
28.12.2020 10:30:40,690;2;525.040;37,1;22,7
28.12.2020 10:30:40,696;2;523.860;37,1;22,7
28.12.2020 10:35:02,974;2;523.860;37,1;22,7
28.12.2020 10:35:02,977;2;523.860;36,8;22,7
28.12.2020 10:35:02,982;2;525.620;36,8;22,7
28.12.2020 10:39:25,306;2;525.620;36,8;22,8
28.12.2020 10:39:25,315;2;525.620;36,8;22,8
28.12.2020 10:39:25,320;2;522.680;36,8;22,8
28.12.2020 10:43:47,607;2;522.680;36,8;22,8
28.12.2020 10:43:47,609;2;522.680;37,5;22,8
28.12.2020 10:43:47,614;2;517.680;37,5;22,8
28.12.2020 10:48:09,915;2;517.680;37,5;22,9
28.12.2020 10:48:09,918;2;517.680;37,6;22,9
28.12.2020 10:48:09,922;2;517.540;37,6;22,9
28.12.2020 10:52:32,245;2;517.540;37,6;23
28.12.2020 10:52:32,254;2;517.540;35,8;23
28.12.2020 10:52:32,260;2;524.660;35,8;23
28.12.2020 10:56:54,557;2;524.660;35,8;22,9
28.12.2020 10:56:54,566;2;524.660;35,9;22,9
28.12.2020 10:56:54,572;2;522.520;35,9;22,9
28.12.2020 11:01:16,872;2;522.520;35,9;23
28.12.2020 11:01:16,882;2;522.520;35,9;23
28.12.2020 11:01:16,888;2;521.280;35,9;23
28.12.2020 11:05:39,187;2;521.280;35,9;23
28.12.2020 11:05:39,198;2;521.280;35,8;23
28.12.2020 11:05:39,204;2;516.860;35,8;23
28.12.2020 11:10:01,508;2;516.860;35,8;23
28.12.2020 11:10:01,510;2;516.860;35,8;23
28.12.2020 11:10:01,516;2;512.080;35,8;23
28.12.2020 11:14:23,821;2;512.080;35,8;23
28.12.2020 11:14:23,832;2;512.080;36;23
28.12.2020 11:14:23,838;2;510.920;36;23
28.12.2020 11:18:46,149;2;510.920;36;23
28.12.2020 11:18:46,153;2;510.920;36,2;23
28.12.2020 11:18:46,158;2;511.020;36,2;23
28.12.2020 11:23:08,509;2;511.020;36,2;23,1
28.12.2020 11:23:08,520;2;511.020;36,3;23,1
28.12.2020 11:23:08,526;2;512.120;36,3;23,1
28.12.2020 11:27:30,839;2;512.120;36,3;23,1
28.12.2020 11:27:30,851;2;512.120;35,8;23,1
28.12.2020 11:27:30,857;2;503.980;35,8;23,1
28.12.2020 11:31:53,171;2;503.980;35,8;23,1
28.12.2020 11:31:53,175;2;503.980;36,2;23,1
28.12.2020 11:31:53,181;2;492.420;36,2;23,1
28.12.2020 11:36:15,501;2;492.420;36,2;23,1
28.12.2020 11:36:15,505;2;492.420;36,5;23,1
28.12.2020 11:36:15,511;2;492.600;36,5;23,1
28.12.2020 11:36:17,457;2;492.600;36,5;23,1
28.12.2020 11:36:17,461;2;492.600;36,5;23,1
28.12.2020 11:36:17,467;2;492.600;36,5;23,1
28.12.2020 11:36:19,755;2;492.600;36,5;23,1
28.12.2020 11:36:19,766;2;492.600;36,5;23,1
28.12.2020 11:36:19,772;2;492.600;36,5;23,1
28.12.2020 11:36:21,757;2;492.600;36,5;23,1
28.12.2020 11:36:21,768;2;492.600;36,5;23,1
