;Datenpunkt;Luftgütesensor 3.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 3.HUMIDITY;Luftgütesensor 3.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
30.11.2020 18:50:03.616;2;57.260;36;21.1
30.11.2020 18:53:32.447;2;57.260;36;21.1
30.11.2020 18:53:32.458;2;57.260;36;21.1
30.11.2020 18:53:32.464;2;57.380;36;21.1
30.11.2020 18:57:57.792;2;57.380;36;21.2
30.11.2020 18:57:57.802;2;57.380;36;21.2
30.11.2020 18:57:57.806;2;57.360;36;21.2
30.11.2020 19:02:23.151;2;57.360;36;21.2
30.11.2020 19:02:23.155;2;57.360;36;21.2
30.11.2020 19:02:23.160;2;57.400;36;21.2
30.11.2020 19:06:48.504;2;57.400;36;21.3
30.11.2020 19:06:48.514;2;57.400;36;21.3
30.11.2020 19:06:48.519;2;57.360;36;21.3
30.11.2020 19:11:13.862;2;57.360;36;21.4
30.11.2020 19:11:13.864;2;57.360;36;21.4
30.11.2020 19:11:13.870;2;57.260;36;21.4
30.11.2020 19:15:39.225;2;57.260;36;21.4
30.11.2020 19:15:39.228;2;57.260;36;21.4
30.11.2020 19:15:39.234;2;57.120;36;21.4
30.11.2020 19:20:04.575;2;57.120;36;21.4
30.11.2020 19:20:04.584;2;57.120;37;21.4
30.11.2020 19:20:04.589;2;56.920;37;21.4
30.11.2020 19:24:29.931;2;56.920;37;21.4
30.11.2020 19:24:29.934;2;56.920;37;21.4
30.11.2020 19:24:29.940;2;56.740;37;21.4
30.11.2020 19:28:55.288;2;56.740;37;21.5
30.11.2020 19:28:55.291;2;56.740;37;21.5
30.11.2020 19:28:55.295;2;56.500;37;21.5
30.11.2020 19:33:20.655;2;56.500;37;21.5
30.11.2020 19:33:20.664;2;56.500;37;21.5
30.11.2020 19:33:20.669;2;56.260;37;21.5
30.11.2020 19:37:46.036;2;56.260;37;21.5
30.11.2020 19:37:46.039;2;56.260;37;21.5
30.11.2020 19:37:46.045;2;56.020;37;21.5
30.11.2020 19:42:11.417;2;56.020;37;21.5
30.11.2020 19:42:11.426;2;56.020;37;21.5
30.11.2020 19:42:11.431;2;55.840;37;21.5
30.11.2020 19:46:36.804;2;55.840;37;21.4
30.11.2020 19:46:36.814;2;55.840;37;21.4
30.11.2020 19:46:36.819;2;55.540;37;21.4
30.11.2020 19:51:02.187;2;55.540;37;21.4
30.11.2020 19:51:02.189;2;55.540;37;21.4
30.11.2020 19:51:02.194;2;55.360;37;21.4
30.11.2020 19:55:27.466;2;55.360;37;21.4
30.11.2020 19:55:27.475;2;55.360;38;21.4
30.11.2020 19:55:27.481;2;55.200;38;21.4
30.11.2020 19:59:52.847;2;55.200;38;21.4
30.11.2020 19:59:52.849;2;55.200;38;21.4
30.11.2020 19:59:52.854;2;55.040;38;21.4
30.11.2020 20:04:18.228;2;55.040;38;21.4
30.11.2020 20:04:18.232;2;55.040;38;21.4
30.11.2020 20:04:18.238;2;54.780;38;21.4
30.11.2020 20:08:43.611;2;54.780;38;21.4
30.11.2020 20:08:43.614;2;54.780;38;21.4
30.11.2020 20:08:43.620;2;54.640;38;21.4
30.11.2020 20:13:08.987;2;54.640;38;21.4
30.11.2020 20:13:08.997;2;54.640;38;21.4
30.11.2020 20:13:09.002;2;54.480;38;21.4
30.11.2020 20:17:34.362;2;54.480;38;21.4
30.11.2020 20:17:34.366;2;54.480;38;21.4
30.11.2020 20:17:34.371;2;54.420;38;21.4
30.11.2020 20:21:59.733;2;54.420;38;21.3
30.11.2020 20:21:59.735;2;54.420;38;21.3
30.11.2020 20:21:59.741;2;54.280;38;21.3
30.11.2020 20:26:25.103;2;54.280;38;21.3
30.11.2020 20:26:25.106;2;54.280;38;21.3
30.11.2020 20:26:25.111;2;54.120;38;21.3
30.11.2020 20:30:50.466;2;54.120;38;21.3
30.11.2020 20:30:50.470;2;54.120;38;21.3
30.11.2020 20:30:50.475;2;53.860;38;21.3
30.11.2020 20:35:15.838;2;53.860;38;21.3
30.11.2020 20:35:15.842;2;53.860;38;21.3
30.11.2020 20:35:15.847;2;53.620;38;21.3
30.11.2020 20:39:41.197;2;53.620;38;21.3
30.11.2020 20:39:41.200;2;53.620;39;21.3
30.11.2020 20:39:41.205;2;53.340;39;21.3
30.11.2020 20:44:06.560;2;53.340;39;21.4
30.11.2020 20:44:06.563;2;53.340;38;21.4
30.11.2020 20:44:06.568;2;53.160;38;21.4
30.11.2020 20:48:31.921;2;53.160;38;21.3
30.11.2020 20:48:31.923;2;53.160;39;21.3
30.11.2020 20:48:31.928;2;52.800;39;21.3
30.11.2020 20:52:57.282;2;52.800;39;21.3
30.11.2020 20:52:57.285;2;52.800;39;21.3
30.11.2020 20:52:57.289;2;52.720;39;21.3
30.11.2020 20:57:22.637;2;52.720;39;21.2
30.11.2020 20:57:22.640;2;52.720;39;21.2
30.11.2020 20:57:22.644;2;52.680;39;21.2
30.11.2020 21:01:47.987;2;52.680;39;21.2
30.11.2020 21:01:47.990;2;52.680;39;21.2
30.11.2020 21:01:47.994;2;52.720;39;21.2
30.11.2020 21:06:13.337;2;52.720;39;21.1
30.11.2020 21:06:13.340;2;52.720;39;21.1
30.11.2020 21:06:13.344;2;52.600;39;21.1
30.11.2020 21:10:38.678;2;52.600;39;21.1
30.11.2020 21:10:38.688;2;52.600;39;21.1
30.11.2020 21:10:38.693;2;52.560;39;21.1
30.11.2020 21:15:04.016;2;52.560;39;21.1
30.11.2020 21:15:04.025;2;52.560;39;21.1
30.11.2020 21:15:04.033;2;52.600;39;21.1
30.11.2020 21:19:29.344;2;52.600;39;21.1
30.11.2020 21:19:29.353;2;52.600;39;21.1
30.11.2020 21:19:29.358;2;52.620;39;21.1
30.11.2020 21:23:54.669;2;52.620;39;21.1
30.11.2020 21:23:54.672;2;52.620;39;21.1
30.11.2020 21:23:54.677;2;52.600;39;21.1
30.11.2020 21:28:19.986;2;52.600;39;21
30.11.2020 21:28:19.995;2;52.600;39;21
30.11.2020 21:28:20.001;2;52.660;39;21
30.11.2020 21:32:45.310;2;52.660;39;21
30.11.2020 21:32:45.313;2;52.660;39;21
30.11.2020 21:32:45.318;2;52.460;39;21
30.11.2020 21:37:10.636;2;52.460;39;21
30.11.2020 21:37:10.645;2;52.460;40;21
30.11.2020 21:37:10.650;2;52.120;40;21
30.11.2020 21:41:35.963;2;52.120;40;21.1
30.11.2020 21:41:35.966;2;52.120;39;21.1
30.11.2020 21:41:35.972;2;52.060;39;21.1
30.11.2020 21:46:01.275;2;52.060;39;21.1
30.11.2020 21:46:01.284;2;52.060;39;21.1
30.11.2020 21:46:01.289;2;51.800;39;21.1
30.11.2020 21:50:26.604;2;51.800;39;21.1
30.11.2020 21:50:26.606;2;51.800;39;21.1
30.11.2020 21:50:26.611;2;51.560;39;21.1
30.11.2020 21:54:51.927;2;51.560;39;21
30.11.2020 21:54:51.929;2;51.560;39;21
30.11.2020 21:54:51.935;2;51.300;39;21
30.11.2020 21:59:17.245;2;51.300;39;21
30.11.2020 21:59:17.253;2;51.300;39;21
30.11.2020 21:59:17.258;2;51.200;39;21
30.11.2020 22:03:42.567;2;51.200;39;21
30.11.2020 22:03:42.576;2;51.200;39;21
30.11.2020 22:03:42.581;2;50.900;39;21
30.11.2020 22:08:07.893;2;50.900;39;21
30.11.2020 22:08:07.896;2;50.900;40;21
30.11.2020 22:08:07.901;2;50.680;40;21
30.11.2020 22:12:33.221;2;50.680;40;21
30.11.2020 22:12:33.223;2;50.680;40;21
30.11.2020 22:12:33.227;2;50.480;40;21
30.11.2020 22:16:58.548;2;50.480;40;21
30.11.2020 22:16:58.550;2;50.480;39;21
30.11.2020 22:16:58.555;2;50.380;39;21
30.11.2020 22:21:23.871;2;50.380;39;21
30.11.2020 22:21:23.874;2;50.380;40;21
30.11.2020 22:21:23.879;2;50.240;40;21
30.11.2020 22:25:49.196;2;50.240;40;21
30.11.2020 22:25:49.205;2;50.240;40;21
30.11.2020 22:25:49.210;2;50.080;40;21
30.11.2020 22:30:14.519;2;50.080;40;21
30.11.2020 22:30:14.527;2;50.080;40;21
30.11.2020 22:30:14.532;2;50.020;40;21
30.11.2020 22:34:39.848;2;50.020;40;21
30.11.2020 22:34:39.851;2;50.020;40;21
30.11.2020 22:34:39.856;2;49.980;40;21
30.11.2020 22:39:05.179;2;49.980;40;21
30.11.2020 22:39:05.187;2;49.980;40;21
30.11.2020 22:39:05.192;2;49.900;40;21
30.11.2020 22:43:30.508;2;49.900;40;21.1
30.11.2020 22:43:30.516;2;49.900;40;21.1
30.11.2020 22:43:30.521;2;49.800;40;21.1
30.11.2020 22:47:55.844;2;49.800;40;21.1
30.11.2020 22:47:55.854;2;49.800;40;21.1
30.11.2020 22:47:55.860;2;49.840;40;21.1
30.11.2020 22:52:21.172;2;49.840;40;21.1
30.11.2020 22:52:21.182;2;49.840;40;21.1
30.11.2020 22:52:21.187;2;49.880;40;21.1
30.11.2020 22:56:46.506;2;49.880;40;21
30.11.2020 22:56:46.515;2;49.880;40;21
30.11.2020 22:56:46.520;2;49.760;40;21
30.11.2020 23:01:11.848;2;49.760;40;21
30.11.2020 23:01:11.851;2;49.760;40;21
30.11.2020 23:01:11.855;2;49.740;40;21
30.11.2020 23:05:37.191;2;49.740;40;21
30.11.2020 23:05:37.195;2;49.740;40;21
30.11.2020 23:05:37.201;2;49.720;40;21
30.11.2020 23:10:02.527;2;49.720;40;21
30.11.2020 23:10:02.538;2;49.720;40;21
30.11.2020 23:10:02.544;2;49.820;40;21
30.11.2020 23:14:27.864;2;49.820;40;21.1
30.11.2020 23:14:27.873;2;49.820;40;21.1
30.11.2020 23:14:27.878;2;49.800;40;21.1
30.11.2020 23:18:53.208;2;49.800;40;21.1
30.11.2020 23:18:53.211;2;49.800;40;21.1
30.11.2020 23:18:53.216;2;49.680;40;21.1
30.11.2020 23:23:18.538;2;49.680;40;21.1
30.11.2020 23:23:18.541;2;49.680;40;21.1
30.11.2020 23:23:18.545;2;49.760;40;21.1
30.11.2020 23:27:43.872;2;49.760;40;21.1
30.11.2020 23:27:43.875;2;49.760;40;21.1
30.11.2020 23:27:43.879;2;49.720;40;21.1
30.11.2020 23:32:09.207;2;49.720;40;21.1
30.11.2020 23:32:09.217;2;49.720;40;21.1
30.11.2020 23:32:09.223;2;49.480;40;21.1
30.11.2020 23:36:34.546;2;49.480;40;21.1
30.11.2020 23:36:34.548;2;49.480;40;21.1
30.11.2020 23:36:34.552;2;49.620;40;21.1
30.11.2020 23:40:59.881;2;49.620;40;21.1
30.11.2020 23:40:59.889;2;49.620;40;21.1
30.11.2020 23:40:59.894;2;49.740;40;21.1
30.11.2020 23:45:25.203;2;49.740;40;21.1
30.11.2020 23:45:25.211;2;49.740;40;21.1
30.11.2020 23:45:25.216;2;49.720;40;21.1
30.11.2020 23:49:50.520;2;49.720;40;21.2
30.11.2020 23:49:50.523;2;49.720;40;21.2
30.11.2020 23:49:50.528;2;49.760;40;21.2
30.11.2020 23:54:15.833;2;49.760;40;21.2
30.11.2020 23:54:15.836;2;49.760;40;21.2
30.11.2020 23:54:15.841;2;49.580;40;21.2
30.11.2020 23:58:41.130;2;49.580;40;21.1
30.11.2020 23:58:41.138;2;49.580;40;21.1
30.11.2020 23:58:41.142;2;49.520;40;21.1
01.12.2020 00:03:06.447;2;49.520;40;21.1
01.12.2020 00:03:06.463;2;49.520;40;21.1
01.12.2020 00:03:06.467;2;49.720;40;21.1
