;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
31.12.2020 16:26:56,439;2;147.800;36,9;23,278
31.12.2020 16:30:32,862;2;147.800;36,9;22,8
31.12.2020 16:30:32,866;2;147.800;35,6;22,8
31.12.2020 16:30:32,873;2;157.780;35,6;22,8
31.12.2020 16:35:04,477;2;157.780;35,6;22,6
31.12.2020 16:35:04,486;2;157.780;36,5;22,6
31.12.2020 16:35:04,492;2;161.480;36,5;22,6
31.12.2020 16:39:36,091;2;161.480;36,5;22,7
31.12.2020 16:39:36,099;2;161.480;36,8;22,7
31.12.2020 16:39:36,106;2;162.460;36,8;22,7
31.12.2020 16:44:07,723;2;162.460;36,8;22,8
31.12.2020 16:44:07,734;2;162.460;37,2;22,8
31.12.2020 16:44:07,740;2;160.520;37,2;22,8
31.12.2020 16:48:39,333;2;160.520;37,2;22,9
31.12.2020 16:48:39,347;2;160.520;37,5;22,9
31.12.2020 16:48:39,353;2;158.000;37,5;22,9
31.12.2020 16:53:10,959;2;158.000;37,5;22,9
31.12.2020 16:53:10,968;2;158.000;37,8;22,9
31.12.2020 16:53:10,973;2;155.280;37,8;22,9
31.12.2020 16:57:42,582;2;155.280;37,8;23
31.12.2020 16:57:42,586;2;155.280;38,1;23
31.12.2020 16:57:42,592;2;153.440;38,1;23
31.12.2020 17:02:14,206;2;153.440;38,1;23
31.12.2020 17:02:14,209;2;153.440;38,1;23
31.12.2020 17:02:14,215;2;152.540;38,1;23
31.12.2020 17:06:45,831;2;152.540;38,1;23
31.12.2020 17:06:45,835;2;152.540;38,2;23
31.12.2020 17:06:45,840;2;151.280;38,2;23
31.12.2020 17:11:17,457;2;151.280;38,2;23
31.12.2020 17:11:17,461;2;151.280;38,2;23
31.12.2020 17:11:17,466;2;150.360;38,2;23
31.12.2020 17:15:49,083;2;150.360;38,2;23
31.12.2020 17:15:49,093;2;150.360;38,3;23
31.12.2020 17:15:49,099;2;148.880;38,3;23
31.12.2020 17:20:20,705;2;148.880;38,3;23
31.12.2020 17:20:20,709;2;148.880;38,5;23
31.12.2020 17:20:20,714;2;147.340;38,5;23
31.12.2020 17:24:52,326;2;147.340;38,5;23
31.12.2020 17:24:52,336;2;147.340;38,7;23
31.12.2020 17:24:52,342;2;145.700;38,7;23
31.12.2020 17:29:23,974;2;145.700;38,7;23,1
31.12.2020 17:29:23,983;2;145.700;38,8;23,1
31.12.2020 17:29:23,989;2;144.320;38,8;23,1
31.12.2020 17:33:55,604;2;144.320;38,8;23,1
31.12.2020 17:33:55,614;2;144.320;39;23,1
31.12.2020 17:33:55,620;2;142.440;39;23,1
31.12.2020 17:38:27,240;2;142.440;39;23,1
31.12.2020 17:38:27,243;2;142.440;39,3;23,1
31.12.2020 17:38:27,249;2;141.540;39,3;23,1
31.12.2020 17:42:58,866;2;141.540;39,3;23,1
31.12.2020 17:42:58,869;2;141.540;39,3;23,1
31.12.2020 17:42:58,875;2;140.620;39,3;23,1
31.12.2020 17:47:30,492;2;140.620;39,3;23,1
31.12.2020 17:47:30,496;2;140.620;39,3;23,1
31.12.2020 17:47:30,502;2;139.980;39,3;23,1
31.12.2020 17:52:02,119;2;139.980;39,3;23,2
31.12.2020 17:52:02,128;2;139.980;39,4;23,2
31.12.2020 17:52:02,134;2;142.640;39,4;23,2
31.12.2020 17:56:33,744;2;142.640;39,4;23,1
31.12.2020 17:56:33,753;2;142.640;38,3;23,1
31.12.2020 17:56:33,759;2;145.980;38,3;23,1
31.12.2020 18:01:05,372;2;145.980;38,3;23,1
31.12.2020 18:01:05,375;2;145.980;38,7;23,1
31.12.2020 18:01:05,381;2;145.780;38,7;23,1
31.12.2020 18:05:36,987;2;145.780;38,7;23,1
31.12.2020 18:05:36,997;2;145.780;38,8;23,1
31.12.2020 18:05:37,003;2;147.180;38,8;23,1
31.12.2020 18:10:08,598;2;147.180;38,8;23
31.12.2020 18:10:08,601;2;147.180;38,4;23
31.12.2020 18:10:08,607;2;150.380;38,4;23
31.12.2020 18:14:40,207;2;150.380;38,4;22,9
31.12.2020 18:14:40,216;2;150.380;38,2;22,9
31.12.2020 18:14:40,222;2;151.980;38,2;22,9
31.12.2020 18:19:11,818;2;151.980;38,2;22,9
31.12.2020 18:19:11,822;2;151.980;38,1;22,9
31.12.2020 18:19:11,828;2;152.900;38,1;22,9
31.12.2020 18:23:43,425;2;152.900;38,1;22,9
31.12.2020 18:23:43,428;2;152.900;37,9;22,9
31.12.2020 18:23:43,433;2;153.540;37,9;22,9
31.12.2020 18:28:15,025;2;153.540;37,9;22,9
31.12.2020 18:28:15,029;2;153.540;37,9;22,9
31.12.2020 18:28:15,034;2;153.600;37,9;22,9
31.12.2020 18:32:46,632;2;153.600;37,9;22,9
31.12.2020 18:32:46,636;2;153.600;38,1;22,9
31.12.2020 18:32:46,641;2;152.280;38,1;22,9
31.12.2020 18:37:18,253;2;152.280;38,1;22,9
31.12.2020 18:37:18,263;2;152.280;38,4;22,9
31.12.2020 18:37:18,269;2;149.120;38,4;22,9
31.12.2020 18:37:20,221;2;149.120;38,4;22,9
31.12.2020 18:37:20,223;2;149.120;38,4;22,9
31.12.2020 18:37:20,229;2;149.120;38,4;22,9
31.12.2020 18:37:22,545;2;149.120;38,4;22,9
31.12.2020 18:37:22,553;2;149.120;38,4;22,9
31.12.2020 18:37:22,559;2;149.120;38,4;22,9
31.12.2020 18:37:24,574;2;149.120;38,4;22,9
31.12.2020 18:37:24,584;2;149.120;38,4;22,9
31.12.2020 18:37:24,589;2;149.120;38,4;22,9
31.12.2020 18:37:26,603;2;149.120;38,4;22,9
31.12.2020 18:37:26,610;2;149.120;38,4;22,9
31.12.2020 18:37:26,616;2;149.120;38,4;22,9
31.12.2020 18:41:48,698;2;149.120;38,4;22,9
31.12.2020 18:41:48,701;2;149.120;38,4;22,9
31.12.2020 18:41:48,707;2;146.000;38,4;22,9
31.12.2020 18:46:20,310;2;146.000;38,4;22,9
31.12.2020 18:46:20,312;2;146.000;38,4;22,9
31.12.2020 18:46:20,320;2;144.020;38,4;22,9
31.12.2020 18:50:51,919;2;144.020;38,4;23
31.12.2020 18:50:51,929;2;144.020;38,6;23
31.12.2020 18:50:51,934;2;142.560;38,6;23
31.12.2020 18:55:23,522;2;142.560;38,6;23
31.12.2020 18:55:23,531;2;142.560;38,7;23
31.12.2020 18:55:23,537;2;141.860;38,7;23
31.12.2020 18:59:55,133;2;141.860;38,7;23
31.12.2020 18:59:55,142;2;141.860;38,7;23
31.12.2020 18:59:55,149;2;141.420;38,7;23
31.12.2020 19:04:26,745;2;141.420;38,7;23
31.12.2020 19:04:26,749;2;141.420;38,7;23
31.12.2020 19:04:26,756;2;139.100;38,7;23
31.12.2020 19:08:58,353;2;139.100;38,7;23
31.12.2020 19:08:58,364;2;139.100;38,7;23
31.12.2020 19:08:58,370;2;135.440;38,7;23
31.12.2020 19:13:29,965;2;135.440;38,7;23
31.12.2020 19:13:29,975;2;135.440;38,8;23
31.12.2020 19:13:29,981;2;131.340;38,8;23
31.12.2020 19:18:01,587;2;131.340;38,8;23
31.12.2020 19:18:01,591;2;131.340;38,9;23
31.12.2020 19:18:01,598;2;126.740;38,9;23
31.12.2020 19:22:33,208;2;126.740;38,9;23
31.12.2020 19:22:33,210;2;126.740;39,2;23
31.12.2020 19:22:33,217;2;122.040;39,2;23
31.12.2020 19:27:04,821;2;122.040;39,2;23,1
31.12.2020 19:27:04,831;2;122.040;39,1;23,1
31.12.2020 19:27:04,838;2;117.160;39,1;23,1
31.12.2020 19:31:36,436;2;117.160;39,1;23,1
31.12.2020 19:31:36,440;2;117.160;39,3;23,1
31.12.2020 19:31:36,446;2;113.380;39,3;23,1
31.12.2020 19:36:08,060;2;113.380;39,3;23,1
31.12.2020 19:36:08,063;2;113.380;39,3;23,1
31.12.2020 19:36:08,069;2;110.940;39,3;23,1
31.12.2020 19:40:39,682;2;110.940;39,3;23,2
31.12.2020 19:40:39,691;2;110.940;39,4;23,2
31.12.2020 19:40:39,696;2;109.880;39,4;23,2
31.12.2020 19:45:11,340;2;109.880;39,4;23,2
31.12.2020 19:45:11,344;2;109.880;39,5;23,2
31.12.2020 19:45:11,350;2;109.320;39,5;23,2
31.12.2020 19:49:42,971;2;109.320;39,5;23,3
31.12.2020 19:49:42,973;2;109.320;39,4;23,3
31.12.2020 19:49:42,979;2;109.040;39,4;23,3
31.12.2020 19:54:14,610;2;109.040;39,4;23,3
31.12.2020 19:54:14,612;2;109.040;39,4;23,3
31.12.2020 19:54:14,618;2;107.940;39,4;23,3
31.12.2020 19:58:46,250;2;107.940;39,4;23,4
31.12.2020 19:58:46,259;2;107.940;39,5;23,4
31.12.2020 19:58:46,265;2;106.500;39,5;23,4
31.12.2020 20:03:17,898;2;106.500;39,5;23,4
31.12.2020 20:03:17,902;2;106.500;39,7;23,4
31.12.2020 20:03:17,907;2;105.380;39,7;23,4
31.12.2020 20:07:49,547;2;105.380;39,7;23,5
31.12.2020 20:07:49,551;2;105.380;39,8;23,5
31.12.2020 20:07:49,557;2;103.980;39,8;23,5
31.12.2020 20:12:21,203;2;103.980;39,8;23,5
31.12.2020 20:12:21,207;2;103.980;40;23,5
31.12.2020 20:12:21,213;2;103.060;40;23,5
31.12.2020 20:16:52,872;2;103.060;40;23,6
31.12.2020 20:16:52,874;2;103.060;39,9;23,6
31.12.2020 20:16:52,880;2;102.620;39,9;23,6
31.12.2020 20:21:24,541;2;102.620;39,9;23,7
31.12.2020 20:21:24,544;2;102.620;39,8;23,7
31.12.2020 20:21:24,549;2;102.280;39,8;23,7
31.12.2020 20:25:56,207;2;102.280;39,8;23,8
31.12.2020 20:25:56,217;2;102.280;39,8;23,8
31.12.2020 20:25:56,222;2;102.660;39,8;23,8
31.12.2020 20:30:27,893;2;102.660;39,8;23,9
31.12.2020 20:30:27,902;2;102.660;39,5;23,9
31.12.2020 20:30:27,908;2;105.400;39,5;23,9
31.12.2020 20:34:59,581;2;105.400;39,5;24
31.12.2020 20:34:59,590;2;105.400;38,9;24
31.12.2020 20:34:59,595;2;109.700;38,9;24
31.12.2020 20:39:31,277;2;109.700;38,9;24,1
31.12.2020 20:39:31,280;2;109.700;37,9;24,1
31.12.2020 20:39:31,286;2;113.780;37,9;24,1
31.12.2020 20:44:02,978;2;113.780;37,9;24,1
31.12.2020 20:44:02,990;2;113.780;37,8;24,1
31.12.2020 20:44:02,995;2;116.820;37,8;24,1
31.12.2020 20:48:34,685;2;116.820;37,8;24,2
31.12.2020 20:48:34,694;2;116.820;37,4;24,2
31.12.2020 20:48:34,700;2;119.940;37,4;24,2
31.12.2020 20:53:06,428;2;119.940;37,4;24,3
31.12.2020 20:53:06,437;2;119.940;37,1;24,3
31.12.2020 20:53:06,442;2;122.660;37,1;24,3
31.12.2020 20:57:38,147;2;122.660;37,1;24,3
31.12.2020 20:57:38,151;2;122.660;36,8;24,3
31.12.2020 20:57:38,156;2;125.720;36,8;24,3
31.12.2020 21:02:09,873;2;125.720;36,8;24,4
31.12.2020 21:02:09,882;2;125.720;36,5;24,4
31.12.2020 21:02:09,887;2;86.040;36,5;24,4
31.12.2020 21:06:41,607;2;86.040;36,5;24,4
31.12.2020 21:06:41,608;2;86.040;36,3;24,4
31.12.2020 21:06:41,611;2;73.560;36,3;24,4
