;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
15.01.2021 19:00:00,000;2;177.160;28,9;24,6
15.01.2021 19:00:56,674;2;177.160;28,9;24,6
15.01.2021 19:00:56,683;2;177.160;29,6;24,6
15.01.2021 19:00:56,688;2;174.900;29,6;24,6
15.01.2021 19:05:29,488;2;174.900;29,6;24,6
15.01.2021 19:05:29,498;2;174.900;30,1;24,6
15.01.2021 19:05:29,504;2;175.280;30,1;24,6
15.01.2021 19:10:02,302;2;175.280;30,1;24,6
15.01.2021 19:10:02,306;2;175.280;29,7;24,6
15.01.2021 19:10:02,312;2;175.860;29,7;24,6
15.01.2021 19:14:35,105;2;175.860;29,7;24,6
15.01.2021 19:14:35,115;2;175.860;29,9;24,6
15.01.2021 19:14:35,120;2;173.780;29,9;24,6
15.01.2021 19:19:07,919;2;173.780;29,9;24,6
15.01.2021 19:19:07,927;2;173.780;30,3;24,6
15.01.2021 19:19:07,932;2;170.320;30,3;24,6
15.01.2021 19:23:40,742;2;170.320;30,3;24,6
15.01.2021 19:23:40,745;2;170.320;30,7;24,6
15.01.2021 19:23:40,751;2;167.060;30,7;24,6
15.01.2021 19:28:13,542;2;167.060;30,7;24,6
15.01.2021 19:28:13,545;2;167.060;30,9;24,6
15.01.2021 19:28:13,551;2;164.920;30,9;24,6
15.01.2021 19:32:46,352;2;164.920;30,9;24,7
15.01.2021 19:32:46,355;2;164.920;31,2;24,7
15.01.2021 19:32:46,361;2;161.640;31,2;24,7
15.01.2021 19:37:19,161;2;161.640;31,2;24,7
15.01.2021 19:37:19,170;2;161.640;31,7;24,7
15.01.2021 19:37:19,174;2;158.140;31,7;24,7
15.01.2021 19:41:51,975;2;158.140;31,7;24,7
15.01.2021 19:41:51,978;2;158.140;31,8;24,7
15.01.2021 19:41:51,983;2;156.300;31,8;24,7
15.01.2021 19:46:24,953;2;156.300;31,8;24,8
15.01.2021 19:46:24,957;2;156.300;31,9;24,8
15.01.2021 19:46:24,962;2;155.000;31,9;24,8
15.01.2021 19:50:57,765;2;155.000;31,9;24,8
15.01.2021 19:50:57,768;2;155.000;32;24,8
15.01.2021 19:50:57,772;2;163.840;32;24,8
15.01.2021 19:55:30,554;2;163.840;32;24,5
15.01.2021 19:55:30,556;2;163.840;27,9;24,5
15.01.2021 19:55:30,561;2;175.940;27,9;24,5
15.01.2021 20:00:03,380;2;175.940;27,9;24,1
15.01.2021 20:00:03,383;2;175.940;27,9;24,1
15.01.2021 20:00:03,388;2;178.240;27,9;24,1
15.01.2021 20:04:36,141;2;178.240;27,9;24,1
15.01.2021 20:04:36,144;2;178.240;29,5;24,1
15.01.2021 20:04:36,149;2;175.640;29,5;24,1
15.01.2021 20:09:08,931;2;175.640;29,5;24,3
15.01.2021 20:09:08,933;2;175.640;30;24,3
15.01.2021 20:09:08,938;2;170.920;30;24,3
15.01.2021 20:13:41,724;2;170.920;30;24,4
15.01.2021 20:13:41,728;2;170.920;30,3;24,4
15.01.2021 20:13:41,732;2;163.620;30,3;24,4
15.01.2021 20:18:14,582;2;163.620;30,3;24,5
15.01.2021 20:18:14,585;2;163.620;30,8;24,5
15.01.2021 20:18:14,590;2;150.180;30,8;24,5
15.01.2021 20:22:47,424;2;150.180;30,8;24,6
15.01.2021 20:22:47,428;2;150.180;30,9;24,6
15.01.2021 20:22:47,433;2;142.560;30,9;24,6
15.01.2021 20:27:20,264;2;142.560;30,9;24,7
15.01.2021 20:27:20,272;2;142.560;31,1;24,7
15.01.2021 20:27:20,277;2;140.160;31,1;24,7
15.01.2021 20:31:53,117;2;140.160;31,1;24,7
15.01.2021 20:31:53,119;2;140.160;31,3;24,7
15.01.2021 20:31:53,123;2;138.900;31,3;24,7
15.01.2021 20:36:25,968;2;138.900;31,3;24,7
15.01.2021 20:36:25,971;2;138.900;31,3;24,7
15.01.2021 20:36:25,975;2;118.040;31,3;24,7
15.01.2021 20:40:58,822;2;118.040;31,3;24,8
15.01.2021 20:40:58,830;2;118.040;31,8;24,8
15.01.2021 20:40:58,834;2;106.960;31,8;24,8
15.01.2021 20:45:31,627;2;106.960;31,8;24,8
15.01.2021 20:45:31,636;2;106.960;31,7;24,8
15.01.2021 20:45:31,641;2;111.820;31,7;24,8
15.01.2021 20:50:04,453;2;111.820;31,7;24,8
15.01.2021 20:50:04,462;2;111.820;31,7;24,8
15.01.2021 20:50:04,467;2;114.160;31,7;24,8
15.01.2021 20:54:37,372;2;114.160;31,7;24,8
15.01.2021 20:54:37,380;2;114.160;31,9;24,8
15.01.2021 20:54:37,385;2;114.540;31,9;24,8
15.01.2021 20:59:10,195;2;114.540;31,9;24,8
15.01.2021 20:59:10,204;2;114.540;31,9;24,8
15.01.2021 20:59:10,209;2;112.160;31,9;24,8
15.01.2021 21:03:43,014;2;112.160;31,9;24,8
15.01.2021 21:03:43,022;2;112.160;32;24,8
15.01.2021 21:03:43,026;2;108.800;32;24,8
15.01.2021 21:08:15,834;2;108.800;32;24,8
15.01.2021 21:08:15,843;2;108.800;32,1;24,8
15.01.2021 21:08:15,847;2;107.740;32,1;24,8
15.01.2021 21:12:48,704;2;107.740;32,1;24,8
15.01.2021 21:12:48,713;2;107.740;32,1;24,8
15.01.2021 21:12:48,718;2;104.160;32,1;24,8
15.01.2021 21:17:22,573;2;104.160;32,1;24,8
15.01.2021 21:17:22,627;2;104.160;32,3;24,8
15.01.2021 21:17:22,631;2;102.080;32,3;24,8
15.01.2021 21:21:54,410;2;102.080;32,3;24,7
15.01.2021 21:21:54,419;2;102.080;32,3;24,7
15.01.2021 21:21:54,423;2;91.540;32,3;24,7
15.01.2021 21:26:27,163;2;91.540;32,3;24,7
15.01.2021 21:26:27,165;2;91.540;32,2;24,7
15.01.2021 21:26:27,170;2;87.660;32,2;24,7
15.01.2021 21:30:59,961;2;87.660;32,2;24,7
15.01.2021 21:30:59,971;2;87.660;32,2;24,7
15.01.2021 21:30:59,976;2;91.280;32,2;24,7
15.01.2021 21:35:32,847;2;91.280;32,2;24,7
15.01.2021 21:35:32,850;2;91.280;32,4;24,7
15.01.2021 21:35:32,852;2;92.840;32,4;24,7
15.01.2021 21:40:05,596;2;92.840;32,4;24,7
15.01.2021 21:40:05,599;2;92.840;32,4;24,7
15.01.2021 21:40:05,603;2;93.620;32,4;24,7
15.01.2021 21:44:38,400;2;93.620;32,4;24,7
15.01.2021 21:44:38,409;2;93.620;32,4;24,7
15.01.2021 21:44:38,413;2;93.780;32,4;24,7
15.01.2021 21:49:11,206;2;93.780;32,4;24,6
15.01.2021 21:49:11,215;2;93.780;32,5;24,6
15.01.2021 21:49:11,219;2;91.960;32,5;24,6
15.01.2021 21:53:44,015;2;91.960;32,5;24,6
15.01.2021 21:53:44,024;2;91.960;32,6;24,6
15.01.2021 21:53:44,029;2;91.240;32,6;24,6
15.01.2021 21:58:16,832;2;91.240;32,6;24,7
15.01.2021 21:58:16,845;2;91.240;32,6;24,7
15.01.2021 21:58:16,850;2;91.780;32,6;24,7
15.01.2021 22:02:49,733;2;91.780;32,6;24,6
15.01.2021 22:02:49,742;2;91.780;32,6;24,6
15.01.2021 22:02:49,744;2;91.940;32,6;24,6
15.01.2021 22:07:22,540;2;91.940;32,6;24,6
15.01.2021 22:07:22,542;2;91.940;32,6;24,6
15.01.2021 22:07:22,546;2;91.580;32,6;24,6
15.01.2021 22:11:55,350;2;91.580;32,6;24,6
15.01.2021 22:11:55,358;2;91.580;32,7;24,6
15.01.2021 22:11:55,363;2;90.000;32,7;24,6
15.01.2021 22:16:28,160;2;90.000;32,7;24,6
15.01.2021 22:16:28,163;2;90.000;32,7;24,6
15.01.2021 22:16:28,167;2;88.720;32,7;24,6
15.01.2021 22:21:00,972;2;88.720;32,7;24,6
15.01.2021 22:21:00,975;2;88.720;32,7;24,6
15.01.2021 22:21:00,980;2;88.320;32,7;24,6
15.01.2021 22:25:33,778;2;88.320;32,7;24,6
15.01.2021 22:25:33,786;2;88.320;32,7;24,6
15.01.2021 22:25:33,791;2;88.300;32,7;24,6
15.01.2021 22:30:06,585;2;88.300;32,7;24,6
15.01.2021 22:30:06,589;2;88.300;32,7;24,6
15.01.2021 22:30:06,594;2;88.340;32,7;24,6
15.01.2021 22:34:39,385;2;88.340;32,7;24,6
15.01.2021 22:34:39,393;2;88.340;32,8;24,6
15.01.2021 22:34:39,397;2;88.540;32,8;24,6
15.01.2021 22:39:12,187;2;88.540;32,8;24,6
15.01.2021 22:39:12,196;2;88.540;32,8;24,6
15.01.2021 22:39:12,200;2;88.020;32,8;24,6
15.01.2021 22:43:45,041;2;88.020;32,8;24,6
15.01.2021 22:43:45,048;2;88.020;32,8;24,6
15.01.2021 22:43:45,053;2;87.160;32,8;24,6
15.01.2021 22:48:17,877;2;87.160;32,8;24,6
15.01.2021 22:48:17,879;2;87.160;32,8;24,6
15.01.2021 22:48:17,884;2;86.460;32,8;24,6
15.01.2021 22:52:50,705;2;86.460;32,8;24,6
15.01.2021 22:52:50,714;2;86.460;32,8;24,6
15.01.2021 22:52:50,718;2;85.960;32,8;24,6
15.01.2021 22:57:23,544;2;85.960;32,8;24,6
15.01.2021 22:57:23,546;2;85.960;32,9;24,6
15.01.2021 22:57:23,551;2;85.260;32,9;24,6
15.01.2021 23:01:56,372;2;85.260;32,9;24,6
15.01.2021 23:01:56,375;2;85.260;32,9;24,6
15.01.2021 23:01:56,380;2;84.540;32,9;24,6
15.01.2021 23:06:29,201;2;84.540;32,9;24,5
15.01.2021 23:06:29,210;2;84.540;32,9;24,5
15.01.2021 23:06:29,214;2;83.720;32,9;24,5
15.01.2021 23:11:02,131;2;83.720;32,9;24,5
15.01.2021 23:11:02,138;2;83.720;32,9;24,5
15.01.2021 23:11:02,141;2;82.800;32,9;24,5
15.01.2021 23:15:34,965;2;82.800;32,9;24,5
15.01.2021 23:15:34,974;2;82.800;32,9;24,5
15.01.2021 23:15:34,979;2;81.960;32,9;24,5
15.01.2021 23:20:07,807;2;81.960;32,9;24,5
15.01.2021 23:20:07,810;2;81.960;32,9;24,5
15.01.2021 23:20:07,815;2;81.380;32,9;24,5
15.01.2021 23:24:40,644;2;81.380;32,9;24,5
15.01.2021 23:24:40,653;2;81.380;32,9;24,5
15.01.2021 23:24:40,659;2;80.440;32,9;24,5
15.01.2021 23:29:13,479;2;80.440;32,9;24,5
15.01.2021 23:29:13,488;2;80.440;33;24,5
15.01.2021 23:29:13,493;2;80.100;33;24,5
15.01.2021 23:33:46,312;2;80.100;33;24,5
15.01.2021 23:33:46,321;2;80.100;33;24,5
15.01.2021 23:33:46,325;2;79.820;33;24,5
15.01.2021 23:38:19,143;2;79.820;33;24,5
15.01.2021 23:38:19,145;2;79.820;33;24,5
15.01.2021 23:38:19,150;2;79.440;33;24,5
15.01.2021 23:42:51,918;2;79.440;33;24,5
15.01.2021 23:42:51,927;2;79.440;33;24,5
15.01.2021 23:42:51,931;2;79.640;33;24,5
15.01.2021 23:47:24,716;2;79.640;33;24,5
15.01.2021 23:47:24,719;2;79.640;33;24,5
15.01.2021 23:47:24,723;2;80.260;33;24,5
15.01.2021 23:51:57,508;2;80.260;33;24,5
15.01.2021 23:51:57,517;2;80.260;33;24,5
15.01.2021 23:51:57,522;2;80.680;33;24,5
15.01.2021 23:56:30,308;2;80.680;33;24,5
