"Source:",HB-UNI-Sensor1-CO2_SCD30/PCB/Modification_of_TomMajors_Smarthome/HB-UNI-Sensor1-CO2_SCD30/HB-UNI-Sensor1-CO2_SCD30.sch",,,,,,,
"Date:","Mon,17,Aug,2020,18:07:38,CEST",,
"Tool:","Eeschema,5.1.6-c6e7f7d~87~ubuntu18.04.1",,,,,,
"Component,Count:","46",,,,,,
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor",,,
"BT1","Battery_Cell","Homebrew:BATTERY_HOLDER_GOOBAY_AA","~","","",,,
"BT2","Battery_Cell","Homebrew:BATTERY_HOLDER_GOOBAY_AA","~","","",,,
"C1","10u","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm","~","","",,,
"C2","470u","","~","","",,,
"D1","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","",,,
"D2","LED,red","","~","","",,
"D3","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","",,,
"D4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","",,,
"D5","LED","LEDs:LED_D3.0mm","~","","",,,
"J1","Conn_01x03_Female","","~","","",,,
"J2","Conn_01x03_Male","","~","","",,,
"J3","6.0V,external,power,plug","","~","",""
"J4","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","",,,
"J5","GS2-conn","Connectors:GS2","","","",,,
"J6","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","","",,,
"J7","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","",,,
"J8","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","",,,
"J9","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","",,,
"J10","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","",,,
"J11","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","","",,,
"J12","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","","",,,
"J13","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","","",,,
"J14","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","","",,,
"Module1","NiMH_Charger_NIMHCRTA_2S","","https://datasheetspdf.com/pdf-file/1257631/CONSONANCE/CN3085/1","","",,,
"Module2","Step_Down_LM2596","","https://www.ti.com/lit/ds/symlink/lm2596.pdf","","",,,
"Module3","Step_Up_HW_668_SX1308","","https://datasheetspdf.com/pdf-file/921054/Suosemi/SX1308/1","","",,,
"Module4","Step_Up_MT3608","","https://chips-and-more.com/cm/pdf/K3608.pdf","","",,,
"Module5","16Bit_ADC_ADS1115","","https://www.ti.com/lit/ds/symlink/ads1115.pdf","","",,,
"Module6","Sensirion_CO2_Sensor_SCD30","","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/9.5_CO2/Sensirion_CO2_Sensors_SCD30_Datasheet.pdf","","",,,
"Q1","BC327","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF","","",,,
"R1","270","","~","","",,,
"R2","470","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",,,
"R3","100","","~","","",,,
"R4","10k","","~","","",,,
"R5","10k","","~","","",,,
"R6","47k,1%","","~","","",,
"R7","47k,1%","","~","","",,
"R8","47k,1%","","~","","",,
"R9","47k,1%","","~","","",,
"R10","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",,,
"R11","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",,,
"SC1","Solar_Cells","","~","","",,,
"SW1","SW_Push_DPDT","","~","","",,,
"SW2","SW_DIP_x01-switches","Buttons_Switches_THT:SW_PUSH_6mm_h5mm","","","",,,
"U1","CC1101-RESCUE-HB-UNI-SEN-BATT","Homebrew:CC1101","","","",,,
"U2","ArduinoProMini","Homebrew:ArduinoProMini","","","",,,
